reference_number,event,type,start_date,end_date,theater,campaign,threats,ownership_federal,ownership_local,ownership_private,ownership_state,ownership_unknown,park,integrity,military,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,military_jim,military_ed,military_bill,protected_acres,protected_percent,county,land_value,priority1,url
TN022,Collierville,Action,1863-11-03,1863-11-03,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Ops. on the Memphis and Charleston RR (1863), 11/03/63, III",High,0,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Shelby,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=201&dt=295
TN023,Campbell's Station,Engagement,1863-11-16,1863-11-16,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Knoxville Campaign (1863), 11/04/63, II",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Knox,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=189&dt=295
TN024,Chattanooga,Battle,1863-11-23,1863-11-25,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Chattanooga-Ringgold Campaign (1863), 11/28/63, I",Mod,1,1,1,0,0,1,Fair,A,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,,A,,2889,90,"Hamilton, Chattanooga, City of",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=342&dt=295
TN025,Fort Sanders,Assault,1863-11-29,1863-11-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Knoxville Campaign (1863), 11/04/63, II",,0,0,1,0,0,0,Lost,B,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,"Knox, Knoxville, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=202&dt=295
TN026,Bean's Station,Engagement,1863-12-14,1863-12-14,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Knoxville Campaign (1863), 11/04/63, II",,1,0,0,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Granger,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=192&dt=295
TN027,Mossy Creek,Action,1863-12-29,1863-12-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Operations about Dandridge, TN (1863-64), 12/24/63, III",Mod,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Jefferson,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=200&dt=295
TN028,Dandridge,Operation,1864-01-16,1864-01-17,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Operations about Dandridge, TN (1863-64), 12/24/63, III",High,0,1,1,0,0,0,Poor,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,C,,,,Jefferson,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=194&dt=295
TN029,Fair Garden,Engagement,1864-01-27,1864-01-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Operations about Dandridge, TN (1863-64), 12/24/63, III",Mod,0,0,1,0,0,0,Fair,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,D,C,,,Sevier,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=203&dt=295
TN030,Fort Pillow,Capture,1864-04-12,1864-04-12,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Exp. into W. TN and KY (1864), 03/16/64, II",Low,0,0,0,1,0,1,Good,B,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,C,A,,,,Lauderdale,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=196&dt=295
TN031,Memphis,Attack,1864-08-21,1864-08-21,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Defense of Mississippi (1864), 06/10/64, II",,0,0,1,0,0,1,Lost,C,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,B,,,,"Shelby, Memphis, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=186&dt=295
TN032,Johnsonville,Action,1864-11-04,1864-11-05,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Raid into West Tennessee (1864), 10/16/64, II",,1,0,1,1,0,0,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,C,,,Benton,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=188&dt=295
TN033,Bull's Gap,Action,1864-11-11,1864-11-13,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Breckenridge's Advance into E. TN (1864), 11/04/64, III",High,0,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,D,,,,"Hamblin, Greene",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=190&dt=295
TN034,Columbia,Skirmish,1864-11-24,1864-11-27,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Franklin-Nashville Camp., No AL and Mid TN (1864), 11/14/64, I",,0,0,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Maury, Columbia, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=191&dt=295
TN035,Spring Hill,Engagement,1864-11-29,1864-11-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Franklin-Nashville Camp., No AL and Mid TN (1864), 11/14/64, I",High,0,1,1,0,0,0,Good,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Maury,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=193&dt=295
TN036,Franklin,Battle,1864-11-30,1864-11-30,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Franklin-Nashville Camp., No AL and Mid TN (1864), 11/14/64, I",High,0,1,1,1,0,0,Poor,A,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,A,A,10,3,"Williamson, Franklin, City of",$1500-7500,0,http://aad.archives.gov/aad/record-detail.jsp?rid=195&dt=295
TN037,Murfreesborough,Demonstration,1864-12-05,1864-12-07,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Franklin-Nashville Camp., No AL and Mid TN (1864), 11/14/64, I",Mod,1,1,1,0,0,1,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Rutherford, Murfreesborough, City",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=197&dt=295
TN038,Nashville,Battle,1864-12-15,1864-12-16,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Franklin-Nashville Camp., No AL and Mid TN (1864), 11/14/64, I",,0,1,1,1,0,0,Lost,A,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,10,3,"Davidson, Nashville, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=199&dt=295
TX001,Sabine Pass,Engagement,1862-09-24,1862-09-25,Trans-Mississippi Theater of Operations,"Efforts to Establish Posts in Texas (1862-63), 09/01/62, II",Low,1,0,1,1,0,1,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,C,C,,,"Jefferson, Cameron, LA",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=204&dt=295
TX002,Galveston,Naval,1862-10-05,1862-10-05,Trans-Mississippi Theater of Operations,"Efforts to Establish Posts in Texas (1862-63), 09/01/62, II",High,0,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Galveston,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=205&dt=295
TX003,Galveston,Recapture,1863-01-01,1863-01-01,Trans-Mississippi Theater of Operations,"Efforts to Establish Posts in Texas (1862-63), 09/01/62, II",High,0,1,1,0,0,0,Poor,B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,B,C,,,Galveston,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=343&dt=295
TX005,Palmeto Ranch,Skirmish,1865-05-12,1865-05-13,Trans-Mississippi Theater of Operations,"Exp. from Brazos Santiago (1865), 05/11/65, III",Low,1,0,1,0,0,0,Good,D,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,D,D,,,,Cameron,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=344&dt=295
TX006,Sabine Pass II,Attack,1863-09-08,1863-09-08,Trans-Mississippi Theater of Operations,"Efforts to Establish Posts in Texas (1862-63), 09/01/62, II",Low,1,0,1,1,0,1,Fair,B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,"Jefferson, Cameron, LA",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=383&dt=295
VA001,Sewell's Point,Naval,1861-05-18,1861-05-19,Main Eastern Theater of Operation,"Blockade of Chesapeake Bay (1961), 05/01/61, III",,1,0,0,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Norfolk, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=206&dt=295
VA002,Aquia Creek,Attack,1861-05-29,1861-06-01,Main Eastern Theater of Operation,"Blockade of Chesapeake Bay (1961), 05/01/61, III",High,0,1,1,0,0,1,Fair,D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,Stafford,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=207&dt=295
VA003,Big Bethel,Engagement,1861-06-10,1861-06-10,Main Eastern Theater of Operation,"Blockade of Chesapeake Bay (1961), 05/01/61, III",,0,1,1,0,0,1,Lost,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,"York, Newport News, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=208&dt=295
VA004,Blackburn's Ford,Action,1861-07-18,1861-07-18,Main Eastern Theater of Operation,"Manassas Campaign (1861), 07/01/61 I",High,0,1,1,0,0,1,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Fairfax, Prince William",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=209&dt=295
VA005,First Manassas,Battle,1861-07-21,1861-07-21,Main Eastern Theater of Operation,"Manassas Campaign (1861), 07/01/61 I",Low,1,0,1,0,0,1,Good,A,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,4356,98,"Prince William, Fairfax",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=210&dt=295
VA006,Ball's Bluff,Engagement,1861-10-21,1861-10-21,Main Eastern Theater of Operation,"McClellan's Ops. in Northern Virginia (1861), 07/26/61, II",Low,0,0,1,0,0,1,Good,B,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,C,,,Loudoun,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=215&dt=295
VA007,Dranesville,Engagement,1861-12-20,1861-12-20,Main Eastern Theater of Operation,"McClellan's Ops. in Northern Virginia (1861), 07/26/61, II",,0,0,0,0,1,0,Unk,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,D,,,,Fairfax,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=212&dt=295
VA008,Hampton Roads,Naval,1862-03-08,1862-03-09,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",Low,0,0,0,0,1,0,Good,B,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,,,,,,"Hampton, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=216&dt=295
VA009,Yorktown,Siege,1862-04-05,1862-05-04,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",Low,1,1,1,0,0,1,Good,B,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,,,,,,"Warwick, Newport News, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=214&dt=295
VA010,Williamsburg,Battle,1862-05-05,1862-05-05,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",Low,1,0,1,0,0,1,Fair,B,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"York, Williamsburg",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=211&dt=295
VA011,Eltham's Landing,Engagement,1862-05-07,1862-05-07,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",Low,0,0,1,0,0,1,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,D,,,,New Kent,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=213&dt=295
VA012,Drewry's Bluff,Naval,1862-05-15,1862-05-15,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",Low,1,0,1,0,0,1,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Chesterfield,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=217&dt=295
VA013,Hanover Courthouse,Engagement,1862-05-27,1862-05-27,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",Low,0,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Hanover, Hanover, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=228&dt=295
VA014,Seven Pines,Battle,1862-05-31,1862-06-01,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",,0,0,1,0,0,0,Lost,B,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,Henrico,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=219&dt=295
VA015,Oak Grove,Engagement,1862-06-25,1862-06-25,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Henrico,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=231&dt=295
VA016,Beaver Dam Creek,Battle,1862-06-26,1862-06-26,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",,1,0,1,0,0,1,Lost,B,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Hanover, Henrico",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=222&dt=295
VA017,Gaines' Mill,Battle,1862-06-27,1862-06-27,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",High,1,0,1,0,0,1,Good,A,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,60,2,"Hanover, Henrico",$1000-1300,1,http://aad.archives.gov/aad/record-detail.jsp?rid=223&dt=295
VA018,Garnetts & Goldings Farm,Action,1862-06-28,1862-06-28,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Henrico,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=225&dt=295
VA019,Savage Station,Battle,1862-06-29,1862-06-29,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",High,0,0,1,0,0,0,Poor,C,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,C,,,,Henrico,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=227&dt=295
VA020A,White Oak Swamp,Engagement,1862-06-30,1862-06-30,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",High,0,0,1,1,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Henrico,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=218&dt=295
VA020B,Glendale,Battle,1862-06-30,1862-06-30,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",Mod,1,0,1,0,0,1,Good,B,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,A,,,,Henrico,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=230&dt=295
VA021,Malvern Hill,Battle,1862-07-01,1862-07-01,Main Eastern Theater of Operation,"Penisula Campaign (1862) 03/01/62, I",High,1,0,1,0,0,1,Good,A,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,131,5,Henrico,$1000-3000,1,http://aad.archives.gov/aad/record-detail.jsp?rid=220&dt=295
VA022,Cedar Mountain,Battle,1862-08-09,1862-08-09,Main Eastern Theater of Operation,"Northern Virginia Campaign (1862), 06/26/62, I",Low,0,0,1,0,0,0,Good,B,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,A,,,,Culpeper,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=221&dt=295
VA023,Rappahannock Station,Engagement,1862-08-23,1862-08-23,Main Eastern Theater of Operation,"Northern Virginia Campaign (1862), 06/26/62, I",Mod,0,0,0,0,1,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Fauquier, Culpeper, Remington, City",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=224&dt=295
VA024,Manassas Station Ops.,Engagement,1862-08-25,1862-08-27,Main Eastern Theater of Operation,"Northern Virginia Campaign (1862), 06/26/62, I",Mod,0,1,1,0,0,1,Poor,B,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,C,,,,,"Prince William, Fairfax",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=226&dt=295
VA025,Thoroughfare Gap,Engagement,1862-08-28,1862-08-28,Main Eastern Theater of Operation,"Northern Virginia Campaign (1862), 06/26/62, I",Low,0,0,1,1,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Prince William, Fauquier",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=229&dt=295
VA026,Second Manassas,Battle,1862-08-29,1862-08-30,Main Eastern Theater of Operation,"Northern Virginia Campaign (1862), 06/26/62, I",Mod,1,0,1,1,0,1,Good,A,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,4356,90,Prince William,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=232&dt=295
VA027,Chantilly,Battle,1862-09-01,1862-09-01,Main Eastern Theater of Operation,"Northern Virginia Campaign (1862), 06/26/62, I",,0,1,1,0,0,1,Lost,B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B,,,,Fairfax,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=233&dt=295
VA028,Fredericksburg,Battle,1862-12-11,1862-12-15,Main Eastern Theater of Operation,"Fredericksburg Campaign (1862), 11/15/62, I",Mod,1,1,1,0,0,1,Poor,A,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,1513,30,"Spotsylvania, Fredricksburg, City","$35,000",0,http://aad.archives.gov/aad/record-detail.jsp?rid=234&dt=295
VA029,Kelly's Ford,Engagement,1863-03-17,1863-03-17,Main Eastern Theater of Operation,"Cavalry Ops. along the Rappahannock (1863), 03/01/63, III",Low,0,0,1,1,0,0,Good,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Culpeper, Fauquier",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=235&dt=295
VA030,Suffolk (Norfleet House),Siege,1863-04-11,1863-05-04,Main Eastern Theater of Operation,"Longstreet's Tidewater Operations (1863), 03/14/63, III",High,0,0,1,0,0,0,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Suffolk, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=249&dt=295
VA031,Suffolk (Hill's Point),Engagement,1863-04-19,1863-04-19,Main Eastern Theater of Operation,"Longstreet's Tidewater Operations (1863), 03/14/63, III",Mod,0,0,1,0,0,0,Good,C,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,"Suffolk, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=352&dt=295
VA032,Chancellorsville,Battle,1863-05-01,1863-05-03,Main Eastern Theater of Operation,"Chancellorsville Campaign (1863), 04/01/63, I",High,1,0,1,0,0,1,Fair,A,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,,,,1141,30,Spotsylvania,$2000-3000,1,http://aad.archives.gov/aad/record-detail.jsp?rid=236&dt=295
VA033,Salem Church,Battle,1863-05-03,1863-05-04,Main Eastern Theater of Operation,"Chancellorsville Campaign (1863), 04/01/63, I",High,1,1,1,0,0,1,Poor,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Spotsylvania,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=237&dt=295
VA034,Second Fredericksburg,Battle,1863-05-03,1863-05-03,Main Eastern Theater of Operation,"Chancellorsville Campaign (1863), 04/01/63, I",Mod,1,0,1,0,0,1,Poor,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,"Fredericksburg, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=250&dt=295
VA035,Brandy Station,Engagement,1863-06-09,1863-06-09,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",High,0,0,1,0,0,0,Good,B,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,B,,,,,Culpeper,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=251&dt=295
VA036,Aldie,Action,1863-06-17,1863-06-17,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",Low,0,0,1,0,0,0,Good,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,C,,,,Loudoun,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=254&dt=295
VA037,Middleburg,Action,1863-06-19,1863-06-19,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",Low,0,0,1,0,0,0,Good,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,"Loudoun, Fauquier",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=345&dt=295
VA038,Upperville,Engagement,1863-06-21,1863-06-21,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",Low,0,0,1,0,0,0,Good,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,C,,,,Fauquier,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=312&dt=295
VA039,Auburn,Action,1863-10-13,1863-10-13,Main Eastern Theater of Operation,"Bristoe Campaign (1863), 10/13/63, II",Low,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Fauquier,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=242&dt=295
VA040,Bristoe Station,Engagement,1863-10-14,1863-10-14,Main Eastern Theater of Operation,"Bristoe Campaign (1863), 10/13/63, II",High,0,0,1,0,0,0,Fair,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Prince William,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=244&dt=295
VA041,Auburn,Combat,1863-10-14,1863-10-14,Main Eastern Theater of Operation,"Bristoe Campaign (1863), 10/13/63, II",Low,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Fauquier,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=255&dt=295
VA042,Buckland Mills,Action,1863-10-19,1863-10-19,Main Eastern Theater of Operation,"Bristoe Campaign (1863), 10/13/63, II",Mod,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Prince William, Fauquier",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=252&dt=295
VA043,Rappahannock Station,Engagement,1863-11-07,1863-11-07,Main Eastern Theater of Operation,"Bristoe Campaign (1863), 10/13/63, II",Mod,0,0,1,0,0,0,Poor,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C,,,"Fauquier, Culpeper, Remington, City",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=256&dt=295
VA044,Mine Run,Engagement,1863-11-27,1863-11-27,Main Eastern Theater of Operation,"Mine Run Campaign (1863), 11/26/63, II",Mod,0,0,1,0,0,0,Fair,B,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,Orange,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=346&dt=295
VA045,Morton's Ford,Engagement,1864-02-06,1864-02-07,Main Eastern Theater of Operation,"Demonstration on the Rapidan River (1864), 02/06/64, III",Low,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Culpeper, Orange",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=247&dt=295
VA046,Wilderness,Battle,1864-05-05,1864-05-07,Main Eastern Theater of Operation,"Grant's Overland Campaign (1864), 05/03/64, I",High,1,0,1,0,0,1,Fair,A,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,A,A,A,1769,40,"Spotsylvania, Orange","$5,750",1,http://aad.archives.gov/aad/record-detail.jsp?rid=238&dt=295
VA047,Port Walthall Junction,Engagement,1864-05-06,1864-05-07,Main Eastern Theater of Operation,"Bermuda Hundred Campaign (1864), 05/06/64, II",Mod,0,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Chesterfield, Walthall, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=239&dt=295
VA048,Spotsylvania Court House,Operation,1864-05-08,1864-05-21,Main Eastern Theater of Operation,"Grant's Overland Campaign (1864), 05/03/64, I",High,1,0,1,0,0,1,Good,A,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,A,A,A,1434,30,Spotsylvania,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=240&dt=295
VA049,Cloyd's Mountain,Engagement,1864-05-09,1864-05-09,Main Eastern Theater of Operation,"Crook-Averell Raid on VA&TN Railroad (1864), 05/09/64, III",Low,0,0,1,0,0,0,Good,C,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,C,,,Pulaski,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=241&dt=295
VA050,Swift Creek,Engagement,1864-05-09,1864-05-09,Main Eastern Theater of Operation,"Bermuda Hundred Campaign (1864), 05/06/64, II",Mod,0,1,1,0,0,1,Fair,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"Chesterfield, Colonial Heights, Cit",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=243&dt=295
VA051,Chester Station,Action,1864-05-10,1864-05-10,Main Eastern Theater of Operation,"Bermuda Hundred Campaign (1864), 05/06/64, II",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Chesterfield, Chester, Town of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=245&dt=295
VA052,Yellow Tavern,Combat,1864-05-11,1864-05-11,Main Eastern Theater of Operation,"Grant's Overland Campaign (1864), 05/03/64, I",High,0,0,1,0,0,0,Poor,C,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,Hanover,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=246&dt=295
VA053,Proctor's Creek,Engagement,1864-05-12,1864-05-16,Main Eastern Theater of Operation,"Bermuda Hundred Campaign (1864), 05/06/64, II",High,0,0,1,0,0,0,Poor,B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,C,,,Chesterfield,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=248&dt=295
VA054,Ware Bottom Church,Engagement,1864-05-20,1864-05-29,Main Eastern Theater of Operation,"Bermuda Hundred Campaign (1864), 05/06/64, II",High,1,1,1,0,0,1,Fair,C,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,C,,C,,,Chesterfield,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=353&dt=295
