page,year,date,locality,union_troops_engaged,union_killed,union_wounded,union_missing,confederate_killed,confederate_wounded,confederate_missing,remarks
,,Sept. 28th,"Clarksville, Arkansas",3d Wisconsin Cavalry,,,,,,,
,,Sept. 28th,"Waynesboro’, Virginia","3d Division, Wilson’s, Cavalry Corps, of the Army of the Potomac",,,,,,,"Official Report of Major General Sheridan, commanding Army of the Middle Military Division"
,,Sept. 28th to 30th,"New Market Heights, Virginia","Tenth Corps, Major General Birney; Eighteenth Corps, Major General Ord; and Cavalry, Brigadier General Kautz, —of the Army of the James, Major General B. F. Butler",400,2029,,,,2000 kwm,"Casualty List. S. G. O. Appendix to Part I. Medical and Surgical History of the War, page 175. Official Report of Major General U. S. Grant. Also designated Chapin's Farm, Laurel Hill, and Forts Harrison and Gilmore. Among the casualties were General Burnham, killed, and Major Generals Ord and Stannard, wounded"
,,Sept. 28th,"Fort Sedgwick, Jerusalem Plank Road, Virginia","3d Division, Ninth Corps",,,,,,,
,,Sept. 29th,"Centreville, Tennessee",2d Tennessee Mounted Infantry,10,25,,,,,"Report of Adjutant General of Tennessee,"
,,Sept. 29th and 30th,"Leesburg and Harrison, Missouri","2d Missouri Militia Cavalry, Battery H, 2d Missouri Light Artillery, and 14h Iowa Volunteers",,,,,,,Official Report of Major General T. Ewing
,,Sept. 30th to Oct. 1st,"Preble’s Farm, Poplar Springs Church, Virginia","1st Division, Wilcox’s, Fifth Corps, and 2d Division, Potter’s, of the Ninth Corps",141,788,1756,,800,100,"Casualty List, S. G. O. Appendix to Part I. Medical and Surgical History of the War. page 175. Official Report of Major General U. S. Grant"
,,Sept. 30th to Oct. 1st,"Arthur’s Swamp, Virginia","2d Cavalry Division, Gregg’s, of the Army of the Potomac",,60,100,,,,"Casualty List, S. G. O"
,,Oct. 1st and 2d,"Athens, Alabama",72d Indiana Volunteers,,,,,,,Official Report of Major General Thomas
,,Oct. 1st,"Huntsville, Alabama",Detachment of the 12th and 13th Indiana Cavalry,,,,,,,"Report of Adjutant General of Indiana, Vol. III, page 267"
,,Oct. 1st,"Franklin, Missouri","Enrolled Missouri Militia, commanded by Col. Wolfe",,,,,,,Official Report of Major General Rosecrans
,,Oct. 1st,"Reconnaissance on Charles City Cross Roads, Virginia","Spear’s Cavalry Brigade, and Terry’s Brigade, Tenth Corps, Army of the James",,,,,,,"Army and Navy Journal, VCD. I, page 99"
,,Oct. 1st to 5th,"Yellow Tavern, Weldon Railroad, Va.","3d Division, Second Corps, of the Army of the Potomac",,,,,,,"Casualty List, S. G. O"
,,Oct. 1st to 3d,"Sweetwater, Noses, and Powder Spring Creeks, Georgia","Kilpatrick’s Cavalry, of the Army of the Cumberland",,,,,,,Official Report of Major General Sherman
,,Oct. 2d,"Waynesboro’, Virginia","Portion of the 1st Division, Merritt’s, and 3d Division, Custer’s, Cavalry Corps, Army of the Potomac",,,50 kwm,,,,
,,Oct. 2d,"Saltville, Virginia","11th and 13th Kentucky, 12th Ohio, 11th Michigan, and 5th and 6th U. S. Colored Cavalry, and 26th, 30th, 35th, 37th, 39th, 40th, and 45th Kentucky Mounted Infantry",54,130,104,18,71,21,"Official Report of Major General S. G. Burbridge, commanding. Appendix to Part I. Medical and Surgical History of the War. page 228"
,,Oct. 2d,"Gladesville, Pound Gap, Virginia",1st Kentucky Cavalry and 3d Kentucky Mounted Infantry,,,,,,,Official Report of Major General S. G. Burbridge
126,,Oct. 4th,"Near Memphis, Tennessee",One company of the 7th Indiana Cavalry,7,,,,,,"Report of Adjutant General of Indiana, Vol. III, page 218"
,,Oct. 5th,"Jackson, Louisiana","23d Wisconsin Volunteers, 1st Texas, and 1st Louisiana Cavalry, and 2d and 4th Massachusetts Batteries",4,10,,,,47,Official Report of Major General Canby
,,Oct. 5th,"Allatoona, Georgia","7th. 12th, 50th, 57th. and 93d Illinois, 39th Iowa, 4th Minnesota, and 18th Wisconsin Volunteers, and 12th Wisconsin Battery",142,352,212,231,500,411,"Casualty List, File A, S. G. O. Official reports. Brigadier General J. M. Corse, commanding the Nationals, was wounded"
,,Oct. 5th,"Fort Adams, Louisiana",2d Wisconsin and 3d U. S. Colored Cavalry,,,,,,,
,,Oct. 6th,"Florence, Alabama",60th Illinois Volunteers and 8th Iowa and 6th Tennessee Cavalry,,,,,,,
,,Oct. -,"North Shenandoah, Virginia",8th Ohio Cavalry,,,,,,,Official Dispatch of Major General Sheridan
,,Oct. 6th,"Prince’s Place, Osage River, Cole Co., Missouri","1st, 7th, and 9th Missouri Militia Cavalry, commanded by Colonel Philips",,,,,,,Official Report of Major General Rosecrans
,,Oct. 6th,"Woodville, Mississippi",,,,,,40,56,Official Report of Major General Canby
,,Oct. 7th,"New Market, Virginia","3d Division, Custer’s, Cavalry of the Army of the Potomac",,,56,,,,Confederate reports
,,Oct. 7th,"Darbytown Roads, near New Market Heights, Virginia","Tenth Corps, Major General Birney, and Cavalry, Brigadier General Kautz, of the Army of the James, Major General B. F. Butler",50,199,150,,1000,350,"Official Reports of Major General Grant. Among the casualties were General Gregg, C. S. A., killed, and Bratton wounded. Colonel Spear, U. S. V., was wounded"
,,Oct. 7th,"Moreau Bottom, near Jefferson City, Missouri","Missouri Militia, Cavalry, Artillery, and Infantry, commanded by Generals Fisk, Brown, McNeil, and San-born",,,,,,,Official Report of Major General Rosecrans
,,Oct. 8th,"Reconnaissance to the Boydtown Plank Road, Virginia",Fifth and Ninth Corps of the Army of the Potomac,,50,,,,,"Casualty List, S. G. O"
,,Oct. 9th,"Tom’s Brook, Virginia","1st Division, Merritt’s, and 3d Division, Custer’s, Cavalry Corps. Torbett’s, of the Army of the Potomac, — Middle Military Division, Major General Sheridan",9,67,,,100 kw,180,"Official Report of Major General Sheridan. Also designated Fisher’s Hill, Strasburg, and Wood-stock. Appendix to Part I, Medical and Surgical History of the War, page 225"
,,Oct. 9th,"California, Missouri","4th and 7th Missouri Militia Cavalry and Batteries H and L, 2d Missouri Artillery",,,,,,,"Report of Adjutant General of Missouri, 1865, p. 474. Official Report of Major Gen. Rosecrans"
,,Oct. 9th to 11th,"Boonsville, Missouri","1st. 4th, 5th, 6th, and 7th Missouri Militia Cavalry, 15th Missouri and 17th Illinois Cavalry, and Battery H, 2d Missouri Light Artillery, commanded by Gen. Sanborn",,,,,,,Official Report of Major General Rosecrans
,,Oct. 10th,"South Tunnel, Tennessee",40th U. S. Colored Troops,4,,,,,,Official
,,Oct. 10th,"East Point, Mississippi",61st U. S. Colored Troops (2d Tennessee),16,20,5,,,,Official
,,Oct. 11th,"Fort Donelson, Tennessee","Portion of the 4th U. S. Colored Heavy Artillery, commanded by Colonel Weaver",4,9,,3,23,,Official
,,Oct. 11th,"Stony Creek Station, Virginia",13th Pennsylvania Cavalry,,,,,,14,
,,Oct. 11th,"Narrows, Georgia","Garrard’s Cavalry Division, Army of the Cumberland",,,,,,,Official Report of Major General Sherman
127,,Oct. 12th,"Greenville, Tennessee",,,,,,,,
,,Oct. 12th,"Resaca, Georgia","Garrison, commanded by Colonel Weaver",,,,,,,Official Reports of Major Generals Sherman and Thomas
,,Oct. 13th,"Reconnaissance to Strasburg, Virginia","1st and 2d Divisions, Nineteenth Corps, Major General Emory, and 1st and 2d Divisions, Army of West Virginia, Major General Crook, -Army of the Middle Military Division",30,144,40,,,,Official Report of General Sheridan. Brevet Brig. General G. D. Wells was killed
,,Oct. 13th,"Tilton, Georgia",,,,,,,,Official
,,Oct. 13th,"Dalton, Georgia","Troops' commanded by Colonel Johnson, 44th U. S. Colored Troops",,,400,,,,Official Report of Major General Thomas
,,Oct. 13th,"Buzzard Roost Block-House, Georgia",One company of the 115th Illinois Volunteers,5,36,60,,,,"Report of Adjutant General of Illinois, Vol. II, page 524"
,,Oct. 13th,"Reconnaissance to Hatcher’s Run, Va.","1st and 3d Divisions, Tenth Corps, Major General Terry, and Kautz’s Cavalry Division, of the Army of the James",55,303,56,,100,,Official Report of Major General Grant
,,Oct. 15th,"Bayou Biddell, Louisiana",52d U. S. Colored Troops (2d Mississippi),1,2,,,,,
,,Oct. 15th,"Glasgow, Missouri","43d Missouri Volunteers, detachments of the 17th Illinois, 9th Missouri Militia, and 13th Missouri Cavalry, and 62d U. S. Colored Troops (1st Missouri), commanded by Colonel Harding",,,400,,50 kw,,"Official Report of Major General Rosecrans. Re-port of Adjutant General of Missouri, 1865, p. 385. Casualty Return, File F, No. 158, S. G. O"
,,Oct. 15th,"Snake Creek Gap, Georgia",Portion of the Army of Tennessee,,,,,,,Official Report of Major General Sherman
,,Oct. 15th,"Sedalia, Missouri",1st and 7th Missouri Militia Cavalry,1,,23,,,,Official Report of Major General Rosecrans
,,Oct. 16th,"Ship’s Gap, Taylor’s Ridge, Georgia","1st Division, Fifteenth Corps",,,,,,40,Official Report of Major General Sherman
,,Oct. 17th,"Cedar Run Church, Virginia",Detachment of the 1st Connecticut Cavalry,,,25,,,,Official Report of Major General Torbett
,,Oct. 18th,"Pierce’s Point, Blackwater, Florida",19th Iowa Volunteers and 2d Maine and 1st Florida Cavalry,,,,,,,"Report of Adjutant General of Iowa, 1865, p. 285"
,,Oct. 19th,"Lexington, Missouri","3d Wisconsin and 5th, 11th. 15th, and 16th Kansas Cavalry, commanded by General Blunt, of General Curtis's Army",,,,,,,Official Report of Major General Rosecrans
,,Oct. 19th,"Cedar Creek, Virginia","1st Division, Merritt’s, and 3d Division, Custer’s, Cavalry  Corps. Major General Torbett, and Sixth Corps, Major General Wright, of the Army of the Potomac; Eighth Corps. Crook’s, and Cavalry, of the Army of West Virginia; and 1st and 2d Divisions, Nineteenth  Corps, Major General Emory, —Army of the Middle Military Division, Major Gen. Sheridan",588,3516,1891,,3000 kw,1200,"Official Report of Major General Sheridan, Appendix  to Part I, Medical and Surgical History of the War, page 225. Casualty List, S. G. O. Also designated Middletown. Among the casualties  in the Union army were Brigadier Generals  Bidwell and Thorburn, killed; Major Generals Wright, Ricketts, and Grover, and Acting Brigadier Generals Kitchen, McKenzie, Penrose, Hamlin, Devins, Duval, and Lowell, wounded. In the Confederate army Major Gen. Ramseur was killed, and Major Generals Battle and Connor, wounded"
,,Oct. 20th to 26th,"Fort Leavenworth, Kansas",,,77,,,,,"Casualty Return, S. G. O"
,,Oct. 20th,"Little River, Tennessee",Cavalry and a portion of the Fifteenth Corps,,,,,,,Official
,,Oct. 21st,"Harrodsburgh, Kentucky",5th U. S. Colored Cavalry,,,,,,,Official
,,Oct. 21st,"Little Blue, Missouri","2d Colorado, 3d Wisconsin, 5th, 11th, 15th, and 16th Kansas Cavalry, and one brigade of Kansas militia of General Curtis’s Army, 2d and 5th Missouri Militia, and two battalions of the 2d Missouri Artillery, — advance of General Pleasanton s Cavalry",,,,,,,"Official Report of Major General Rosecrans. Re-port of Adjutant General of Kansas. Two engagements , one between General Price’s van-guard and General Curtis’s troops, and the other between General Price’s rear and the advance of General Pleasanton"
128,,Oct. 22d,"Independence, Missouri","2d Colorado and 5th, 7th. 11th, 15th, and 16th Kansas Cavalry, and Kansas Militia, of General Curtis's command, and 1st, 2d, 4th, 6th, 7th, 8th, and 9th Missouri Militia Cavalry, 13th Missouri, 3d Iowa, and 17th Illinois Cavalry, of General Pleasanton’s command",,,,40,,100 wm,"Official Report of Major General Rosecrans. Two engagements, one between Price’s advance and Curtis’s troops, and the other between Price's rear-guard and Pleasanton’s advance"
,,Oct. 22d,"White River, Arkansas",53d U. S. Colored Troops,2,1,,,,,Official
,,Oct. 22d,"Gunboat attack on the Union batteries on the James River, Virginia",,,,,,11,,
,,Oct. 23d,"Hurricane Creek, Mississippi",1st Iowa and 9th Kansas Cavalry,1,2,,,,,Official
,,Oct. 23d,"Princeton, Arkansas",3d Missouri Cavalry,3,,,,,,Official
,,Oct. 23d,"Westport, Big Blue, Missouri","Missouri Militia Cavalry, and Cavalry of General A. J. Smith's command, commanded by Major General A. Pleasanton, and Cavalry and Kansas Militia of the Army of the Border, commanded by General Curtis",,,,,,,Report of Major General Rosecrans
,,Oct. 24th,"Coldwater Grove, Osage, Missouri","Kansas Cavalry, of Gen. Curtis’s Army of the Border",,,,,,,
,,Oct. 25th,"Mine Creek, Maria Des Cygnes, and Little Osage River, Kansas",Cavalry of Generals Pleasanton’s and Curtis's armies,,,,,,,Official Report of Major General Rosecrans. Pursuit of Price’s forces
,,Oct. 26th,"Milton, Blackwater, Florida",19th Iowa Volunteers and 2d Maine Cavalry,,,,,,,Official Report of Lieutenant Colonel Sparling
,,Oct. 26th to 29th,"Decatur, Alabama","18th Michigan, 102d Ohio, and 68th Indiana Volunteers, and 14th U. S. Colored Troops",10,45,100,100,300,50,Official Report of Major General Thomas
,,Oct. 27th,"Hatcher’s Run, South-Side Railroad, Virginia","2d Cavalry Division, Gregg’s; 2d and 3d Divisions, Second Corps, Major General Hancock; Fifth Corps, Major General Warren; and Ninth Corps. Major General Parke, —Army of the Potomac, Major Gen. Meade",156,1047,699,200,600,200,"Official Report of Major General Grant. Appendix to Part I, Medical and Surgical History of the War, page 176. Casualty List, S. G. O. Also designated Boydtown Road, Vaughn Road, and Burgess Farm. "
,,Oct. 27th and 28th,"Fair Oaks, near Richmond, Virginia","Tenth Corps, Major General Terry; Eighteenth Corps. Major General Weitzel; and Cavalry, Brig. General Kautz, —Army of the James, Major General Butler,",120,783,400,60,311,80,"Official Report of Major General U. S. Grant. Casualty List, S. G. O"
,,Oct. 28th and 30th,"Newtonia, Missouri","Cavalry of the Army of the Border, commanded by Gen. Blunt",,,,,250,,Official Report of Major General Rosecrans. Pur-suit of Price’s forces
,,Oct. 28th,"Fort Heiman, Tennessee",Union gunboats,,,,,,,Official
,,Oct. 28th,Destruction of the rebel ram Albemarle,"Thirteen men, commanded by Lieut. W. B. Cushing, U. S. N",,3,11,,,,Official report
,,Oct. 28th,"Fayetteville, Arkansas",1st Arkansas Cavalry,,,,,,,Report of Adjutant General of Arkansas
,,Oct. 28th,"Morristown, Tennessee","Cavalry, commanded by General Gillem",8,42,,,,240,
,,Oct. 29th,"Beverly, West Virginia",8th Ohio Cavalry,8,25,13,17,27,92,"Ohio in the War, Vol. 2, page 806"
,,Oct. 30th,"Muscle Shoals, Raccoon Ford, Alabama","1st Brigade, 1st Cavalry Division, Army of the Cumberland ",,,,,,,"Report of Adjutant General of Iowa, 1867, p. 553"
,,Oct. 30th,"Ladija, Terrapin Creek, Alabama",Garrard’s Division of Cavalry of the Army of the Cumberland ,,,,,,,
,,Oct. 30th,"Near Brownsville, Arkansas",7th Iowa and 11th Missouri Cavalry,2,,4,,,,"Report of Adjutant General of Iowa, 1867, p. 563"
129,,Oct. 31st,"Plymouth, North Carolina","U. S. steamers Commodore Hull, Shamrock, Otsego. Wyalusing, and Tacony",,,,,,37,"Official Report of Commodore W. H. Macomb, U. S. N"
,,Nov. 1st,"Black River, Louisiana",6th U. S. Colored Heavy Artillery,6,,,,,,Official
,,Nov. 1st to 4th,"Union Station, Tennessee",10th Missouri Cavalry,2,2,25,,,,Official
,,Nov. 3d,"Vera Cruz, Arkansas",One company of the 46th Missouri Vols. (six-months’),5,1,,,,,Official
,,Nov. 4th and 5th,"Johnsonville, Tennessee","11th Tennessee Cavalry, 43d Wisconsin Volunteers, and 12th U. S. Colored Troops",,,,,,,Official Report of Major General Thomas
,,Nov. 5th and 6th,"Big Pigeon River, Tennessee","3d North Carolina Mounted Infantry, Colonel Kirk",,2,,,,,"Casualty Return, S. G. O"
,,Nov. 5th,"Fort Sedgwick, Virginia","Second Corps, Army of the Potomac",5,10,5,15,35,41,Also known as Fort Hell
,,Nov. 9th,"Atlanta, Georgia","2d Division, Twentieth Corps, Army of the Cumberland",,,,,,20 kwm,Official Report of Brig. General A. S. Williams
,,Nov. 9th,"Shoal Creek, Alabama","5th Division, Cavalry, Brigadier General Hatch, of General Thomas’ Army",,,,,,,Official Report of Major General Thomas
,,Nov. 12th,"Newtown, Ninevah, and Cedar Springs, Virginia","1st Division, Merritt’s, and 3d Division, Custer’s, Cavalry of the Army of the Potomac, and 2d Division, Powell’s, Cavalry of the Army of West Virginia",,84,100,,,150,"Official Report of Major General Torbett. List of casualties, S G. O"
,,Nov. 13th,"Bull’s Gap, Morristown, Tennessee","8th, 9th, and 13th Tennessee Cavalry, commanded by General Gillem",5,36,200,,,,"Appendix to Part I, Medical and Surgical History of the War, page 326. Official Report of Major General Thomas"
,,Nov. 14th to 28th,"Cow Creek, Kansas",54th U. S. Colored Troops (2d Arkansas) and 3d Kansas  Indian Home Guards,4,,,,,,Official
,,Nov. 15th,"Clinton and Liberty Creek, Louisiana",Expedition commanded by General A. L. Lee,,,,,,69,"Report of Adjutant General of Wisconsin, 1863, page 636"
,,Nov. 16th,"Lovejoy Station, Jonesboro’, Georgia","1st Brigade, 3d Division, Cavalry, Kilpatrick’s, of the Army of the Cumberland",,,,,,50,Official Report of Brigadier General Kilpatrick
,,Nov. 16th,"Bear Creek Station, Georgia","2d Brigade, 3d Division, Cavalry, Kilpatrick’s, of the Army of the Cumberland",,,,,,,Official Report of Brigadier General Kilpatrick
,,Nov. 17th,"Chester Station, Bermuda Hundred, Va.",209th Pennsylvania Volunteers,,10,120,,10,,
,,Nov. 17th.,"Aberdeen and Butler Creek, Alabama",2d Iowa Cavalry,,,,,,,"Report of Adjutant General of Iowa, 1864, p. 1323"
,,Nov. 18th,"Myerstown, Virginia ","Detachment, commanded by Captain R. Blazer, 91st Ohio",,,60 kwm,,,10 kwm,"Partizan Life with Mosby, page 267"
,,Nov. 19th,"Bayou La Fouche, or Ash Bayou, La.",11th Wisconsin Volunteers and 93d U. S. Colored Troops,,,,,,,"Report of Adjutant General of Wisconsin, 1865, page 188"
,,Nov. 20th,"Macon, Georgia","10th Ohio and 9th Pennsylvania Cavalry, 92d Illinois Mounted Infantry, and* 10th Wisconsin Battery, of the 3d Division Cavalry, —Army of the Cumberland",,,,,,,Official Report of Brigadier General Kilpatrick
,,Nov. 21st,"Liberty and Jackson, Louisiana",4th Wisconsin Cavalry and 1st Wisconsin Battery,,,,,,,"Report of Adjutant General of Wisconsin, 1865, page 636"
,,Nov. 22d,"Rolling Fork, Mississippi",3d U. S. Colored Cavalry (1st Mississippi),,,,,,,
,,Nov. 22d,"Griswoldville, Georgia","Walcott’s Brigade, 1st Division. Fifteenth Corps, and 1st Brigade, 3d Division of Cavalry, —Army of the Tennessee",10,52,,50,200,400,"Official Report of Major General Sherman. Gen. Walcott, U. S. V., and Gen. Anderson, C. S. A., were wounded"
,,Nov. 22d,"Clinton, Georgia",Advance of the Fifteenth Corps,,,,,,,Official
130,,Nov. 22d,"Rood's Hill, Virginia","1st and 3d Divisions, Cavalry Corps, Army of the Potomac, and 2d Division of Cavalry of the Army of West Virginia, Major General Torbett",18,52,10,,,,"Casualty List, S. G. O"
,,Nov. 22d,"Lawrenceburg, Tennessee","5th Division, Cavalry, of the Military Division of the Mississippi, Brigadier General Hatch",,,50 kwm,,,50 kwm,Official Report of Major General Thomas
,,Nov. 24th,"Bent’s Old Fork, Texas",1st California Cavalry,,10,2,,,,Official
,,Nov. 24th,"Campbellville and Lynnville, Tenn.","5th Division, Cavalry, Brigadier General Hatch",,25,,,,,Official Report of Major General Thomas
,,Nov. 24th to 28th,"Columbia, Duck Run, Tennessee","Capron's Brigade, 1st Division. Cavalry, and Fourth and Twenty-third Corps of General Thomas’s Army",,,,,,,Official Report of Major General Thomas
,,Nov. 24th and 25th,"Ball’s Ferry, Oconee River, Georgia","1st Alabama Cavalry, advance of the Army of the Tennessee, Major General O. O. Howard",,,,,,,Official Report of Major General O. O. Howard
,,Nov. 25th,"Pawnee Forks, Kansas",One company of the 1st Colorado Cavalry,1,5,,,,,Official
,,Nov. 25th,"St. Vrain's Old Fort, New Mexico",One company of the 1st New Mexico Cavalry,,2,,,,,
,,Nov. 26th,"Madison Station, Alabama",101st U. S. Colored Troops,5,,,,,,Official
,,Nov. 26th,"Sandersville, Georgia","3d Brigade, 1st Division, Twentieth Corps",,,100,,,100,Official Report of Major General Sherman. Also designated Buffalo Creek
,,Nov. 26th,"Sylvan Grove, Georgia","8th Indiana and 2d Kentucky, of the 1st Brigade, 3d Division, Cavalry, Major General Kilpatrick",,,,,,,"Official Report of Colonel E. H. Murray, commanding brigade"
,,Nov. 27th,"Big Black River Bridge, Mississippi Central Railroad","Cavalry and Artillery, commanded by Colonel E. D. Osband, 3d U. S. Colored Cavalry",,,,,,,
,,Nov. 27th to 29th,"Waynesboro’, Thomas Station, and Buck Head Creek","3d Cavalry Division, Army of the Military Division of the Mississippi, Major General Kilpatrick",,46,,,,600 kwm,"Official Report of Major General Sherman. Also designated Reynold s Plantation, Jones’ Plantation , and Browne’s Cross Roads"
,,Nov. 28th,"Fort Kelly, New Creek, West Virginia",,,,700,2,3,,"Official Report of Lieutenant General R. E. Lee, C. S. A"
,,Nov. 29th,"Spring Hill, Tennessee","Fourth Corps, Major General Stanley, and Cavalry",,,,,,,Official Report of Major General Thomas. Also designated Mount Carmel
,,Nov. 29th,"Big Sandy, Colorado Territory",1st and 3d Colorado Cavalry,3,21,,,,,Official
,,Nov. 30th,"Franklin, Tennessee","Fourth Corps, Major General Stanley, of the Army of the Cumberland; Twenty-third Corps, Major Gen. Cox, of the Army of the Ohio, commanded by Maj. General Schofield",189,1033,1104,1750,3800,702,"Casualty List, S. G. O. Appendix to Part I, Medical and Surgical History of the War. page 323. Official Reports of Major General G. H. Thomas, U. S. A., and Lieutenant General Hood, C. S. A. Among the casualties were Major Generals Stanley and Bradley, U. S. A., wounded, and Major General Cleborne, Brigadier Generals Adams, John Williams, Strahl, Geist, and Gran-berry, killed, and Major General J. Brown, Brig. Generals S. Carter, Manigault, Quarles, Cockerelle, and Scott, C. S. A., wounded"
,,Nov. 30th,"Honey Hill, Broad River, South Carolina","25th Ohio, 50th and 155th New York Volunteers, and 26th, 32d, 35th, and 102d U. S. Colored Troops, and 51th and 55th Massachusetts Colored Troops, of the Army of the South, commanded by Brig. Gen. Hatch",66,645,,,,,"Casualty Return, S. G. O. Also designated Grahamsville"
131,,Nov. 30th to Dec. 4th,"Bermuda Hundred, Virginia",Pickets of the 20th Colored Troops,25,,,,,,
,,Dec. 1st,"Stoney Creek Station and Duvall's Mills, Weldon Railroad, Virginia","2d Division, Gregg’s, Cavalry, of the Army of the Potomac",,40,,,,175,"Casualty List, S. G. O. Official dispatches"
,,Dec. 1st,"Twelve miles from Yazoo City, Miss.",Detachment of the 2d Wisconsin Cavalry,5,9,25,,,,"Report of Adjutant General of Wisconsin, 1865, page 608"
,,Dec. 1st to 31st,"Trenches before Petersburg, Virginia",Army of the Potomac,40,329,,,,,"Casualty List, S. G. O."
,,Dec. 1st to 14th,"Skirmishing in front of Nashville, Tenn.","Fourth Corps, Major General Wood, of the Army of the Cumberland; Twenty-third Corps, Major Gen. Schofield, Army of the Ohio; and 1st and 3d Divisions, of the Sixteenth Corps, Major Gen. A. J. Smith, Army of the Tennessee, and Cavalry, commanded by Major General Wilson",16,100,,,,,"Official Report of Major General Thomas. Appendix  to Part I, Medical and Surgical History of the War, page 323. Casualty List, S. G. O"
,,Dec. 1st,"Millen Grove, Georgia","5th Kentucky and 8th Indiana Cavalry, of Sherman’s army",,,,,,,Official Report of Brigadier General Kilpatrick
,,Dec. 2d,"Rocky Creek Church, Georgia","3d Kentucky and 5th Ohio Cavalry, advance of Sherman’s army",,,,,,,Official Report of Brigadier General Kilpatrick
,,Dec. 2d,"--, Mississippi",2d New York Cavalry,,,23,,,,
,,Dec. 2d and 3d,"Block House, No. 2, Mill Creek, Chattanooga , Tennessee","Detachment of the Hath Ohio Volunteers, 44th and two companies 14th U. S. Colored Troops",12,46,57,,,,"Official Report of Colonel L. Johnson, 44th U. S. Colored Troops"
,,Dec. 3d,"Thomas’ Station, Georgia",92d Illinois Mounted Infantry,2,1,,,,,Official Report of Brigadier General Kilpatrick
,,Dec. 4th,"Coosaw River, South Carolina",25th Ohio Volunteers,,,,,,,"Ohio in the War, Vol. 2, page 180"
,,Dec. 4th,"Block House, No. 7, Overall’s Creek, Tennessee",Troops commanded by General Milroy,,100,,,,100 kwm,Official Report of Major General Thomas
,,Dec. 4th,"Waynesboro’ and Brier Creek, Georgia","3d Division, Cavalry of the Army of the Military Division  of the Mississippi, Brigadier General Kilpatrick",,,,,,200,Official Report of Brigadier General Kilpatriok
,,Dec. 4th,"Statesboro’, Georgia",Foragers of the 15th Corps,,8,27,2,,2,Official Report of Major General Hazen
,,Dec. 5th to 8th,"Murfreesboro’, Tennessee",Troops commanded by General Rosseau,30,175,,,,197,Official Report of Major General Thomas. Also called the Cedars
,,Dec. 6th to 9th,"Deveaux's Nock, South Carolina","26th, 33d, 34th, and 102d U. S. Colored Troops, 54th and 55th Massachusetts Colored Troops, 56th and 155th New York, and 25th and 107th Ohio Volunteers, and 3d Rhode Island Artillery, commanded by (Jen. Hatch. Naval Brigade commanded by Commander Preble",39,390,200,,,400 kwm,"Casualty Return, S. G. O. Also designated Tillafinney River, Mason’s Bridge, and Gregory’s Farm. The Confederate General L. H. Gartrell was wounded"
,,Dec. 6th,"White Post, Virginia",Fifty men of the 21st New York Cavalry,,30,,,,,
,,Dec. 7th,"Ebenezer Creek, Cypress Swamp, Ga.","9th Michigan and 9th Ohio Cavalry, rear guard of the left wing of Sherman’s army",2,3,,,,17,Official Report of Brigadier General Kilpatrick
,,Dec. 7th to 9th,"Ogeechee River, Georgia","Fifteenth and Seven teeth Corps, of the right wing, Major General O. O. Howard, of the Army of the Military Division of the Mississippi, Major General W. T. Sherman",,,,,,,"Official Report of Major General W. T. Sherman. Also designated Jenks’ Bridge, Eden Station, and Poole’s Station"
,,Dec. 7th to 11th,Weldon Railroad expedition,"2d Division, Cavalry Corps, Fifth Corps, and 3d Division  of the Second Corps, Army of the Potomac",,100,,,,,"Casualty Lists, S. G. O"
,,Dec. 8th and 9th,"Reconnaissance to Hatcher’s Run, Va.","3d and 13th Pennsylvania and 6th Ohio Cavalry, and the 1st Division, Second Corps",,,125 kwm,,,,"Casualty List, S. G. O"
,,Dec. 8th to 28th,"Raid to Gordonsville, Virginia","1st Division, Merritt’s, and 3d Division. Custer’s. Cav., Army of the Potomac, commanded by Gen. Torbett",,43,,,,,"Casualty List, S. G. O"
132,,Dec. 9th to Jan. 14th,Expedition into Western North Carolina,"3d North Carolina Volunteers, commanded by Colonel Kirk",2,7,10,,,29 kwm,"Casualty List, S. G. O"
,,Dec. 9th,"Fort Lyons, Indian Territory","1st Colorado Cavalry, commanded by Colonel J. M. Chivington",9,40,,,,,Massacre of 500 Indians. Also known as Sand Creek
,,Dec. 9th,"Cuyler’s Plantation, Monteith Swamp, Georgia",Fourteenth Corps of the left wing of the Army of the Military Division of the Mississippi,2,11,,,,4,Official Report of Major General J. C. Davis
,,Dec. 9th to 12th,"Expedition to Hamilton, North Carolina","27th Massachusetts and 9th New Jersey Volunteers, North Carolina Cavalry, and 3d New York Artillery",,,,,,,"Skirmishes at Foster’s Bridge, 10th, and Butler’s Bridge, 12th"
,,Dec. 9th,"Bellefield and Hicksford, Virginia","2d Division, Cavalry Corps, Army of the Potomac",,,,,,,Skirmish during the Weldon Railroad expedition
,,Dec. 10th to 21st,"Siege of Savannah, Georgia","Fourteenth Corps. Major General Davis, and Twentieth Corps, Major General Williams, —left wing, Major General Slocum: Fifteenth Corps, Major General J. A. Logan, and Seventeenth Corps, Major General F. P. Blair, —right wing, Major Gen. O. O. Howard Army of the Military Division of the Mississippi, Major General W. T. Sherman",,200,,,,800,"Official Report of Major General Sherman. Appendix  to Part I, Medical and Surgical History of the War, page 321. Casualty List, S. G. O"
,,Dec. 12th,"Elkton, Kentucky","1st Cavalry Division, commanded by Brigadier General McCook",,,,,,,
