battle,belligerent,description,commanders,strength,regiments,companies,brigades,divisions,corps,armies,cavalry_regiments,cavalry_brigades,cavalry_divisions,cavalry_corps,cavalry_companies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,infantry_regiments,strength_other,ships,guns
VA029,CS,"Brigade, 800","[{'fullname': 'Fitzhugh Lee', 'last_name': 'Lee', 'first_name': 'Fitzhugh', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",800,,,,,,,,,,,,,,,,,,,
VA029,US,"Divisions, 2,100","[{'fullname': 'William W. Averell', 'last_name': 'Averell', 'first_name': 'William', 'middle_name': 'W.', 'rank': 'Brigadier General', 'suffix': ''}]",2100,,,,,,,,,,,,,,,,,,,
VA030,CS,"approximately 20,000","[{'fullname': 'James Longstreet', 'last_name': 'Longstreet', 'first_name': 'James', 'middle_name': '', 'rank': 'Lieutenant General', 'suffix': ''}]",20000,,,,,,,,,,,,,,,,,,,
VA030,US,"Gunboat, approximately 17,000","[{'fullname': 'John Peck', 'last_name': 'Peck', 'first_name': 'John', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",17000,,,,,,,,,,,,,,,,,,1,
VA031,CS,,"[{'fullname': 'James Longstreet', 'last_name': 'Longstreet', 'first_name': 'James', 'middle_name': '', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
VA031,US,,"[{'fullname': 'John Peck', 'last_name': 'Peck', 'first_name': 'John', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
VA032,CS,"57,352","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}, {'fullname': 'Thomas J. Jackson', 'last_name': 'Jackson', 'first_name': 'Thomas', 'middle_name': 'J.', 'rank': 'Major General', 'suffix': ''}]",57352,,,,,,,,,,,,,,,,,,,
VA032,US,"97,382","[{'fullname': 'Joseph Hooker', 'last_name': 'Hooker', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",97382,,,,,,,,,,,,,,,,,,,
VA033,CS,"Brigades 10,000","[{'fullname': 'Lafayette McLaws', 'last_name': 'McLaws', 'first_name': 'Lafayette', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Cadmus M. Wilcox', 'last_name': 'Wilcox', 'first_name': 'Cadmus', 'middle_name': 'M.', 'rank': 'Brigadier General', 'suffix': ''}]",10000,,,,,,,,,,,,,,,,,,,
VA033,US,"VI Corps, 25,000","[{'fullname': 'John Sedgwick', 'last_name': 'Sedgwick', 'first_name': 'John', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",25000,,,,,,,,,,,,,,,,,,,
VA034,CS,"approximately 12,000","[{'fullname': 'Jubal A. Early', 'last_name': 'Early', 'first_name': 'Jubal', 'middle_name': 'A.', 'rank': 'Major General', 'suffix': ''}]",12000,,,,,,,,,,,,,,,,,,,
VA034,US,"approximately 25,000","[{'fullname': 'John Sedgwick', 'last_name': 'Sedgwick', 'first_name': 'John', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",25000,,,,,,,,,,,,,,,,,,,
VA035,CS,"9,500","[{'fullname': 'J.E.B. Stuart', 'last_name': 'Stuart', 'first_name': 'J.E.B.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",9500,,,,,,,,,,,,,,,,,,,
VA035,US,"11,000","[{'fullname': 'Pleasonton', 'last_name': '', 'first_name': 'Pleasonton', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",11000,,,,,,,,,,,,,,,,,,,
VA036,CS,"approximately 1,500","[{'fullname': 'Thomas Munford', 'last_name': 'Munford', 'first_name': 'Thomas', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",1500,,,,,,,,,,,,,,,,,,,
VA036,US,"approximately 2,000","[{'fullname': 'H. Judson Kilpatrick', 'last_name': 'Kilpatrick', 'first_name': 'H.', 'middle_name': 'Judson', 'rank': 'Brigadier General', 'suffix': ''}]",2000,,,,,,,,,,,,,,,,,,,
VA037,CS,unknown,"[{'fullname': 'J.E.B. Stuart', 'last_name': 'Stuart', 'first_name': 'J.E.B.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA037,US,unknown,"[{'fullname': 'David M. Gregg', 'last_name': 'Gregg', 'first_name': 'David', 'middle_name': 'M.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA038,CS,unknown,"[{'fullname': 'Wade Hampton', 'last_name': 'Hampton', 'first_name': 'Wade', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Beverly Robertson', 'last_name': 'Robertson', 'first_name': 'Beverly', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA038,US,unknown,"[{'fullname': 'Alfred Pleasonton', 'last_name': 'Pleasonton', 'first_name': 'Alfred', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA039,CS,"approximately 3,000","[{'fullname': 'J.E.B. Stuart', 'last_name': 'Stuart', 'first_name': 'J.E.B.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",3000,,,,,,,,,,,,,,,,,,,
VA039,US,"approximately 2,000","[{'fullname': 'William H. French', 'last_name': 'French', 'first_name': 'William', 'middle_name': 'H.', 'rank': 'Major General', 'suffix': ''}]",2000,,,,,,,,,,,,,,,,,,,
VA040,CS,"17,218","[{'fullname': 'A.P. Hill', 'last_name': 'Hill', 'first_name': 'A.P.', 'middle_name': '', 'rank': 'Lieutenant General', 'suffix': ''}]",17218,,,,,,,,,,,,,,,,,,,
VA040,US,"8,383","[{'fullname': 'G.K. Warren', 'last_name': 'Warren', 'first_name': 'G.K.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",8383,,,,,,,,,,,,,,,,,,,
VA041,CS,"approximately 3,000","[{'fullname': 'J.E.B. Stuart', 'last_name': 'Stuart', 'first_name': 'J.E.B.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",3000,,,,,,,,,,,,,,,,,,,
VA041,US,unknown,"[{'fullname': 'G.K. Warren', 'last_name': 'Warren', 'first_name': 'G.K.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
VA042,CS,unknown,"[{'fullname': 'J.E.B. Stuart', 'last_name': 'Stuart', 'first_name': 'J.E.B.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA042,US,unknown,"[{'fullname': 'J. Kilpatrick', 'last_name': 'Kilpatrick', 'first_name': 'J.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA043,CS,"2,000","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",2000,,,,,,,,,,,,,,,,,,,
VA043,US,"2,000","[{'fullname': 'George G. Meade', 'last_name': 'Meade', 'first_name': 'George', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",2000,,,,,,,,,,,,,,,,,,,
VA044,CS,"44,426","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",44426,,,,,,,,,,,,,,,,,,,
VA044,US,"69,643","[{'fullname': 'George G. Meade', 'last_name': 'Meade', 'first_name': 'George', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",69643,,,,,,,,,,,,,,,,,,,
VA045,CS,,"[{'fullname': 'Richard S. Ewell', 'last_name': 'Ewell', 'first_name': 'Richard', 'middle_name': 'S.', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
VA045,US,,"[{'fullname': 'John C. Caldwell', 'last_name': 'Caldwell', 'first_name': 'John', 'middle_name': 'C.', 'rank': 'Major General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
VA046,CS,"61,025","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",61025,,,,,,,,,,,,,,,,,,,
VA046,US,"101,895","[{'fullname': 'Ulysses S. Grant', 'last_name': 'Grant', 'first_name': 'Ulysses', 'middle_name': 'S.', 'rank': 'Lieutenant General', 'suffix': ''}, {'fullname': 'George G. Meade', 'last_name': 'Meade', 'first_name': 'George', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",101895,,,,,,,,,,,,,,,,,,,
VA047,CS,"2,600","[{'fullname': 'Johnson Hagood', 'last_name': 'Hagood', 'first_name': 'Johnson', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",2600,,,,,,,,,,,,,,,,,,,
VA047,US,"8,000","[{'fullname': 'Benjamin Butler', 'last_name': 'Butler', 'first_name': 'Benjamin', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",8000,,,,,,,,,,,,,,,,,,,
VA048,CS,"52,000","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",52000,,,,,,,,,,,,,,,,,,,
VA048,US,"100,000","[{'fullname': 'Ulysses S. Grant', 'last_name': 'Grant', 'first_name': 'Ulysses', 'middle_name': 'S.', 'rank': 'Lieutenant General', 'suffix': ''}, {'fullname': 'George G. Meade', 'last_name': 'Meade', 'first_name': 'George', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",100000,,,,,,,,,,,,,,,,,,,
VA049,CS,"2,400","[{'fullname': 'Albert Jenkins', 'last_name': 'Jenkins', 'first_name': 'Albert', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",2400,,,,,,,,,,,,,,,,,,,
VA049,US,"6,555","[{'fullname': 'George Crook', 'last_name': 'Crook', 'first_name': 'George', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",6555,,,,,,,,,,,,,,,,,,,
VA050,CS,unknown,"[{'fullname': 'P.G.T. Beauregard', 'last_name': 'Beauregard', 'first_name': 'P.G.T.', 'middle_name': '', 'rank': 'General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA050,US,"5 gunboats, unknown","[{'fullname': 'Benjamin Butler', 'last_name': 'Butler', 'first_name': 'Benjamin', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,1,
VA051,CS,unknown,"[{'fullname': 'P.G.T. Beauregard', 'last_name': 'Beauregard', 'first_name': 'P.G.T.', 'middle_name': '', 'rank': 'General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA051,US,unknown,"[{'fullname': 'Benjamin Butler', 'last_name': 'Butler', 'first_name': 'Benjamin', 'middle_name': '', 'rank': 'General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA052,CS,"5,000","[{'fullname': 'J.E.B. Stuart', 'last_name': 'Stuart', 'first_name': 'J.E.B.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",5000,,,,,,,,,,,,,,,,,,,
VA052,US,"12,000","[{'fullname': 'Philip Sheridan', 'last_name': 'Sheridan', 'first_name': 'Philip', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",12000,,,,,,,,,,,,,,,,,,,
VA053,CS,"18,000","[{'fullname': 'P.G.T. Beauregard', 'last_name': 'Beauregard', 'first_name': 'P.G.T.', 'middle_name': '', 'rank': 'General', 'suffix': ''}]",18000,,,,,,,,,,,,,,,,,,,
VA053,US,"30,000","[{'fullname': 'Benjamin Butler', 'last_name': 'Butler', 'first_name': 'Benjamin', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",30000,,,,,,,,,,,,,,,,,,,
VA054,CS,,"[{'fullname': 'P.G.T. Beauregard', 'last_name': 'Beauregard', 'first_name': 'P.G.T.', 'middle_name': '', 'rank': 'General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
VA054,US,,"[{'fullname': 'Benjamin Butler', 'last_name': 'Butler', 'first_name': 'Benjamin', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
VA055,CS,"53,000","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",53000,,,,,,,,,,,,,,,,,,,
VA055,US,"68,000","[{'fullname': 'Ulysses S. Grant', 'last_name': 'Grant', 'first_name': 'Ulysses', 'middle_name': 'S.', 'rank': 'Lieutenant General', 'suffix': ''}, {'fullname': 'George G. Meade', 'last_name': 'Meade', 'first_name': 'George', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",68000,,,,,,,,,,,,,,,,,,,
VA056,CS,"2,500","[{'fullname': 'Fitzhugh Lee', 'last_name': 'Lee', 'first_name': 'Fitzhugh', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",2500,,,,,,,,,,,,,,,,,,,
VA056,US,"1 Gunboat, 1,100","[{'fullname': 'Edward Wild', 'last_name': 'Wild', 'first_name': 'Edward', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",1100,,,,,,,,,,,,,,,,,,1,
VA057,CS,unknown,"[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
VA057,US,unknown,"[{'fullname': 'Ulysses S. Grant', 'last_name': 'Grant', 'first_name': 'Ulysses', 'middle_name': 'S.', 'rank': 'Lieutenant General', 'suffix': ''}, {'fullname': 'George G. Meade', 'last_name': 'Meade', 'first_name': 'George', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
VA058,CS,unknown,"[{'fullname': 'Fitzhugh Lee', 'last_name': 'Lee', 'first_name': 'Fitzhugh', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Wade Hampton', 'last_name': 'Hampton', 'first_name': 'Wade', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA058,US,unknown,"[{'fullname': 'David M. Gregg', 'last_name': 'Gregg', 'first_name': 'David', 'middle_name': 'M.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA059,CS,"2,000","[{'fullname': 'Matthew C. Butler', 'last_name': 'Butler', 'first_name': 'Matthew', 'middle_name': 'C.', 'rank': 'Brigadier General', 'suffix': ''}]",2000,,,,,,,,,,,,,,,,,,,
VA059,US,unknown,"[{'fullname': 'Alfred Torbert', 'last_name': 'Torbert', 'first_name': 'Alfred', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
VA062,CS,"62,000","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",62000,,,,,,,,,,,,,,,,,,,
VA062,US,"108,000","[{'fullname': 'Ulysses S. Grant', 'last_name': 'Grant', 'first_name': 'Ulysses', 'middle_name': 'S.', 'rank': 'Lieutenant General', 'suffix': ''}, {'fullname': 'George G. Meade', 'last_name': 'Meade', 'first_name': 'George', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",108000,,,,,,,,,,,,,,,,,,,
VA063,CS,"42,000","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}, {'fullname': 'P.G.T. Beauregard', 'last_name': 'Beauregard', 'first_name': 'P.G.T.', 'middle_name': '', 'rank': 'General', 'suffix': ''}]",42000,,,,,,,,,,,,,,,,,,,
VA063,US,"62,000","[{'fullname': 'Ulysses S. Grant', 'last_name': 'Grant', 'first_name': 'Ulysses', 'middle_name': 'S.', 'rank': 'Lieutenant General', 'suffix': ''}, {'fullname': 'George G. Meade', 'last_name': 'Meade', 'first_name': 'George', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",62000,,,,,,,,,,,,,,,,,,,
VA064,CS,"approximately 14,000","[{'fullname': 'Jubal A. Early', 'last_name': 'Early', 'first_name': 'Jubal', 'middle_name': 'A.', 'rank': 'Lieutenant General', 'suffix': ''}]",14000,,,,,,,,,,,,,,,,,,,
VA064,US,"16,643","[{'fullname': 'David Hunter', 'last_name': 'Hunter', 'first_name': 'David', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",16643,,,,,,,,,,,,,,,,,,,
VA065,CS,"8,000","[{'fullname': 'A.P. Hill', 'last_name': 'Hill', 'first_name': 'A.P.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",8000,,,,,,,,,,,,,,,,,,,
VA065,US,"27,000","[{'fullname': 'David B. Birney', 'last_name': 'Birney', 'first_name': 'David', 'middle_name': 'B.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Horatio Wright', 'last_name': 'Wright', 'first_name': 'Horatio', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",27000,,,,,,,,,,,,,,,,,,,
VA066,CS,unknown,"[{'fullname': 'Wade Hampton', 'last_name': 'Hampton', 'first_name': 'Wade', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA066,US,unknown,"[{'fullname': 'Philip Sheridan', 'last_name': 'Sheridan', 'first_name': 'Philip', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA067,CS,"5,000","[{'fullname': 'Wade Hampton', 'last_name': 'Hampton', 'first_name': 'Wade', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",5000,,,,,,,,,,,,,,,,,,,
VA067,US,"4,000","[{'fullname': 'James Wilson', 'last_name': 'Wilson', 'first_name': 'James', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'August Kautz', 'last_name': 'Kautz', 'first_name': 'August', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",4000,,,,,,,,,,,,,,,,,,,
VA068,CS,"7,000","[{'fullname': 'William Mahone', 'last_name': 'Mahone', 'first_name': 'William', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Fitzhugh Lee', 'last_name': 'Lee', 'first_name': 'Fitzhugh', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",7000,,,,,,,,,,,,,,,,,,,
VA068,US,"4,000","[{'fullname': 'James Wilson', 'last_name': 'Wilson', 'first_name': 'James', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'August Kautz', 'last_name': 'Kautz', 'first_name': 'August', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",4000,,,,,,,,,,,,,,,,,,,
VA069,CS,"16,500","[{'fullname': 'Charles Field', 'last_name': 'Field', 'first_name': 'Charles', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",16500,,,,,,,,,,,,,,,,,,,
VA069,US,unknown,"[{'fullname': 'Winfield Scott Hancock', 'last_name': 'Hancock', 'first_name': 'Winfield', 'middle_name': 'Scott', 'rank': 'Major General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
VA070,CS,"Maj. General William Mahone’s Division, approximately 6,100","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",6100,,,,,,,,,,,,,,,,,,,
VA070,US,"IX Corps, approximately 8,500","[{'fullname': 'Ambrose E. Burnside', 'last_name': 'Burnside', 'first_name': 'Ambrose', 'middle_name': 'E.', 'rank': 'Major General', 'suffix': ''}]",8500,,,,,,,,,,,,,,,,,,,
VA071,CS,"approximately 20,000","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}, {'fullname': 'Charles Field', 'last_name': 'Field', 'first_name': 'Charles', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",20000,,,,,,,,,,,,,,,,,,,
VA071,US,"approximately 30,000","[{'fullname': 'Winfield Scott Hancock', 'last_name': 'Hancock', 'first_name': 'Winfield', 'middle_name': 'Scott', 'rank': 'Major General', 'suffix': ''}]",30000,,,,,,,,,,,,,,,,,,,
VA072,CS,"14,000","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}, {'fullname': 'A.P. Hill', 'last_name': 'Hill', 'first_name': 'A.P.', 'middle_name': '', 'rank': 'Lieutenant General', 'suffix': ''}, {'fullname': 'Henry Heth', 'last_name': 'Heth', 'first_name': 'Henry', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'William Mahone', 'last_name': 'Mahone', 'first_name': 'William', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",14000,,,,,,,,,,,,,,,,,,,
VA072,US,"20,089","[{'fullname': 'G.K. Warren', 'last_name': 'Warren', 'first_name': 'G.K.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",20089,,,,,,,,,,,,,,,,,,,
VA073,CS,"14,000","[{'fullname': 'Henry Heth', 'last_name': 'Heth', 'first_name': 'Henry', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",14000,,,,,,,,,,,,,,,,,,,
VA073,US,"9,000","[{'fullname': 'Winfield Scott Hancock', 'last_name': 'Hancock', 'first_name': 'Winfield', 'middle_name': 'Scott', 'rank': 'Major General', 'suffix': ''}]",9000,,,,,,,,,,,,,,,,,,,
VA074,CS,"12,000","[{'fullname': 'A.P. Hill', 'last_name': 'Hill', 'first_name': 'A.P.', 'middle_name': '', 'rank': 'Lieutenant General', 'suffix': ''}, {'fullname': 'Wade Hampton', 'last_name': 'Hampton', 'first_name': 'Wade', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",12000,,,,,,,,,,,,,,,,,,,
VA074,US,"29,800","[{'fullname': 'George G. Meade', 'last_name': 'Meade', 'first_name': 'George', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'John G. Parke', 'last_name': 'Parke', 'first_name': 'John', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'G.K. Warren', 'last_name': 'Warren', 'first_name': 'G.K.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",29800,,,,,,,,,,,,,,,,,,,
VA075,CS,"14,500","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}, {'fullname': 'Richard S. Ewell', 'last_name': 'Ewell', 'first_name': 'Richard', 'middle_name': 'S.', 'rank': 'Lieutenant General', 'suffix': ''}]",14500,,,,,,,,,,,,,,,,,,,
VA075,US,"25,000","[{'fullname': 'Benjamin Butler', 'last_name': 'Butler', 'first_name': 'Benjamin', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",25000,,,,,,,,,,,,,,,,,,,
VA076,CS,"Confederate Home Guard, 300","[{'fullname': 'Alfred E. Jackson', 'last_name': 'Jackson', 'first_name': 'Alfred', 'middle_name': 'E.', 'rank': 'Brigadier General', 'suffix': ''}]",300,,,,,,,,,,,,,,,,,,,
VA076,US,"Brigade 5,000","[{'fullname': 'Stephen Burbridge', 'last_name': 'Burbridge', 'first_name': 'Stephen', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",5000,,,,,,,,,,,,,,,,,,,
VA077,CS,unknown,"[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
VA077,US,unknown,"[{'fullname': 'A. Kautz', 'last_name': 'Kautz', 'first_name': 'A.', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'David Birney', 'last_name': 'Birney', 'first_name': 'David', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
VA078,CS,unknown,"[{'fullname': 'Richard Anderson', 'last_name': 'Anderson', 'first_name': 'Richard', 'middle_name': '', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA078,US,unknown,"[{'fullname': 'Alfred Terry', 'last_name': 'Terry', 'first_name': 'Alfred', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA079,CS,"11,691","[{'fullname': 'Henry Heth', 'last_name': 'Heth', 'first_name': 'Henry', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",11691,,,,,,,,,,,,,,,,,,,
VA079,US,"30,000","[{'fullname': 'Winfield Scott Hancock', 'last_name': 'Hancock', 'first_name': 'Winfield', 'middle_name': 'Scott', 'rank': 'Major General', 'suffix': ''}]",30000,,,,,,,,,,,,,,,,,,,
VA080,CS,unknown,"[{'fullname': 'James Longstreet', 'last_name': 'Longstreet', 'first_name': 'James', 'middle_name': '', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
VA080,US,unknown,"[{'fullname': 'Benjamin Butler', 'last_name': 'Butler', 'first_name': 'Benjamin', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
VA081,CS,,"[{'fullname': 'John C. Breckinridge', 'last_name': 'Breckinridge', 'first_name': 'John', 'middle_name': 'C.', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA081,US,,"[{'fullname': 'George Stoneman', 'last_name': 'Stoneman', 'first_name': 'George', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
VA082,CS,"2,800","[{'fullname': 'John C. Breckinridge', 'last_name': 'Breckinridge', 'first_name': 'John', 'middle_name': 'C.', 'rank': 'Major General', 'suffix': ''}]",2800,,,,,,,,,,,,,,,,,,,
VA082,US,"4,500","[{'fullname': 'George Stoneman', 'last_name': 'Stoneman', 'first_name': 'George', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",4500,,,,,,,,,,,,,,,,,,,
VA083,CS,"13,835","[{'fullname': 'John B. Gordon', 'last_name': 'Gordon', 'first_name': 'John', 'middle_name': 'B.', 'rank': 'Major General', 'suffix': ''}]",13835,,,,,,,,,,,,,,,,,,,
VA083,US,"34,517","[{'fullname': 'A.A. Humphreys', 'last_name': 'Humphreys', 'first_name': 'A.A.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'G.K. Warren', 'last_name': 'Warren', 'first_name': 'G.K.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",34517,,,,,,,,,,,,,,,,,,,
VA084,CS,"10,000","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}, {'fullname': 'John B. Gordon', 'last_name': 'Gordon', 'first_name': 'John', 'middle_name': 'B.', 'rank': 'Major General', 'suffix': ''}]",10000,,,,,,,,,,,,,,,,,,,
VA084,US,"14,898","[{'fullname': 'John G. Parke', 'last_name': 'Parke', 'first_name': 'John', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",149898,,,,,,,,,,,,,,,,,,,
