cwsac,combatant,forces_text,description,armies,artillery_batteries,brigades,cavalry_brigades,cavalry_corps,cavalry_divisions,cavalry_regiments,companies,corps,divisions,gunboats,ironclads,rams,regiments,ships,strength,strength_max,strength_min,wooden_ships
VA040,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA040,US,Corps,,,,,,,,,,1,,,,,,,,,,
VA022,CS,"24,898 total (US 8,030; CS 16,868)","16,868",,,,,,,,,,,,,,,,,16868,16868,
VA022,US,"24,898 total (US 8,030; CS 16,868)","8,030",,,,,,,,,,,,,,,,,8030,8030,
KY008,CS,Union garrison [US]; Army of the Mississippi [CS],Army of the Mississippi,1,,,,,,,,,,,,,,,,,,
KY008,US,Union garrison [US]; Army of the Mississippi [CS],Union garrison,,,,,,,,,,,,,,,,,,,
VA046,CS,"162,920 total (US 101,895; CS 61,025)","61,025",,,,,,,,,,,,,,,,,61025,61025,
VA046,US,"162,920 total (US 101,895; CS 61,025)","101,895",,,,,,,,,,,,,,,,,101895,101895,
GA021,CS,Kilpatrick's Cavalry Division [US]; Jackson's Cavalry Division [CS],Jackson's Cavalry Division,,,,,,1,,,,,,,,,,,,,
GA021,US,Kilpatrick's Cavalry Division [US]; Jackson's Cavalry Division [CS],Kilpatrick's Cavalry Division,,,,,,1,,,,,,,,,,,,,
NC006,CS,Regiments,,,,,,,,,,,,,,,1,,,,,
NC006,US,Regiments,,,,,,,,,,,,,,,1,,,,,
LA008,CS,"4th Division, XIX Army Corps, Army of the Gulf [US]; District of Western Louisiana [CS]",District of Western Louisiana,,,,,,,,,,,,,,,,,,,
LA008,US,"4th Division, XIX Army Corps, Army of the Gulf [US]; District of Western Louisiana [CS]","4th Division, XIX Army Corps, Army of the Gulf",,,,,,,,,,1,,,,,,,,,
TN030,CS,"Detachments from three units (approx. 600) [US]; Brig. Gen. James R. Chalmers's 1st Division, Forrest's Cavalry Corps [CS]","Brig. Gen. James R. Chalmers's 1st Division, Forrest's Cavalry Corps",,,,,,,,,,1,,,,,,,,,
TN030,US,"Detachments from three units (approx. 600) [US]; Brig. Gen. James R. Chalmers's 1st Division, Forrest's Cavalry Corps [CS]",Detachments from three units (approx. 600),,,,,,,,,,,,,,,,,600,600,
AL007,CS,"Two cavalry divisions [US]; troops in city (approx. 5,000 men) [CS]","troops in city (approx. 5,000 men)",,,,,,,,,,,,,,,,,5000,5000,
AL007,US,"Two cavalry divisions [US]; troops in city (approx. 5,000 men) [CS]",Two cavalry divisions,,,,,,2,,,,,,,,,,,,,
GA010,CS,Military Division of the Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA010,US,Military Division of the Mississippi [US]; Army of Tennessee [CS],Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,
NC017,CS,"Divisions: 20,500 total (US 12,000; CS 8,500)","8,500",,,,,,,,,,,,,,,,,8500,8500,
NC017,US,"Divisions: 20,500 total (US 12,000; CS 8,500)","12,000",,,,,,,,,,,,,,,,,12000,12000,
LA021,CS,Red River Expeditionary Force (Banks's Department of the Gulf) [US]; Bee's Cavalry Division [CS],Bee's Cavalry Division,,,,,,1,,,,,,,,,,,,,
LA021,US,Red River Expeditionary Force (Banks's Department of the Gulf) [US]; Bee's Cavalry Division [CS],Red River Expeditionary Force (Banks's Department of the Gulf),,,,,,,,,,,,,,,,,,,
VA050,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA050,US,Divisions,,,,,,,,,,,1,,,,,,,,,
AR004,CS,Department of Missouri [US]; two cavalry brigades [CS],two cavalry brigades,,,,2,,,,,,,,,,,,,,,
AR004,US,Department of Missouri [US]; two cavalry brigades [CS],Department of Missouri,,,,,,,,,,,,,,,,,,,
MO020,CS,Garrison plus some reinforcements [US]; cavalry division [CS],cavalry division,,,,,,1,,,,,,,,,,,,,
MO020,US,Garrison plus some reinforcements [US]; cavalry division [CS],Garrison plus some reinforcements,,,,,,,,,,,,,,,,,,,
FL002,CS,"One gunboat [US]; Osceola Rangers, company [CS]","Osceola Rangers, company",,,,,,,,1,,,,,,,,,,,
FL002,US,"One gunboat [US]; Osceola Rangers, company [CS]",One gunboat,,,,,,,,,,,1,,,,,,,,
TN032,CS,"Supply depot garrison (approx. 4,000) [US]; Forrest's Cavalry [CS]",Forrest's Cavalry,,,,,,,,,,,,,,,,,,,
TN032,US,"Supply depot garrison (approx. 4,000) [US]; Forrest's Cavalry [CS]","Supply depot garrison (approx. 4,000)",,,,,,,,,,,,,,,,,4000,4000,
KY003,CS,"Combination of detachments from twelve Union Ohio and Kentucky units [US]; nine companies of infantry and two of mounted men (1,010 men) [CS]","nine companies of infantry and two of mounted men (1,010 men)",,,,,,,,,,,,,,,,,1010,1010,
KY003,US,"Combination of detachments from twelve Union Ohio and Kentucky units [US]; nine companies of infantry and two of mounted men (1,010 men) [CS]",Combination of detachments from twelve Union Ohio and Kentucky units,,,,,,,,,,,,,,,,,,,
MS004,CS,"Mississippi Squadron and Companies A,B,D,F,G,H,K, 58th Ohio Volunteer Infantry Regiment [US]; Bowen's Division and attached troops [CS]",Bowen's Division and attached troops,,,,,,,,,,1,,,,,,,,,
MS004,US,"Mississippi Squadron and Companies A,B,D,F,G,H,K, 58th Ohio Volunteer Infantry Regiment [US]; Bowen's Division and attached troops [CS]","Mississippi Squadron and Companies A,B,D,F,G,H,K, 58th Ohio Volunteer Infantry Regiment",,,,,,,,,,,,,,,,,,,
LA010,CS,"XIX Army Corps, Army of the Gulf [US]; Confederate forces, 3rd District, Department of Mississippi and East Louisiana, Port Hudson [CS]","Confederate forces, 3rd District, Department of Mississippi and East Louisiana, Port Hudson",,,,,,,,,,,,,,,,,,,
LA010,US,"XIX Army Corps, Army of the Gulf [US]; Confederate forces, 3rd District, Department of Mississippi and East Louisiana, Port Hudson [CS]","XIX Army Corps, Army of the Gulf",,,,,,,,,1,,,,,,,,,,
VA116,CS,"23,000 total (US 10,000; CS 13,000)","13,000",,,,,,,,,,,,,,,,,13000,13000,
VA116,US,"23,000 total (US 10,000; CS 13,000)","10,000",,,,,,,,,,,,,,,,,10000,10000,
SC003,CS,Regiments,,,,,,,,,,,,,,,1,,,,,
SC003,US,Regiments,,,,,,,,,,,,,,,1,,,,,
SC010,CS,"6,400 total (US 5,000; CS 1,400)","1,400",,,,,,,,,,,,,,,,,1400,1400,
SC010,US,"6,400 total (US 5,000; CS 1,400)","5,000",,,,,,,,,,,,,,,,,5000,5000,
MO029,CS,Five brigades [US]; remnants of Price's Army of Missouri [CS],remnants of Price's Army of Missouri,,,,,,,,,,,,,,,,,,,
MO029,US,Five brigades [US]; remnants of Price's Army of Missouri [CS],Five brigades,,,5,,,,,,,,,,,,,,,,
MO007,CS,"Brigade size force (approx. 2,500-3,500) [US]; Missouri State Guard [CS]",Missouri State Guard,,,,,,,,,,,,,,,,,,,
MO007,US,"Brigade size force (approx. 2,500-3,500) [US]; Missouri State Guard [CS]","Brigade size force (approx. 2,500-3,500)",,,,,,,,,,,,,,,,,2500,2500,
MS010,CS,"XIII Army Corps, Army of the Tennessee [US]; Bridgehead Defense Force (three brigades) [CS]",Bridgehead Defense Force (three brigades),,,3,,,,,,,,,,,,,,,,
MS010,US,"XIII Army Corps, Army of the Tennessee [US]; Bridgehead Defense Force (three brigades) [CS]","XIII Army Corps, Army of the Tennessee",,,,,,,,,1,,,,,,,,,,
OK004,CS,"1st Division, Army of the Frontier [US]; 1st Brigade [CS]",1st Brigade,,,1,,,,,,,,,,,,,,,,
OK004,US,"1st Division, Army of the Frontier [US]; 1st Brigade [CS]","1st Division, Army of the Frontier",,,,,,,,,,1,,,,,,,,,
MO021,CS,Garrison [US]; Army of Missouri [CS],Army of Missouri,1,,,,,,,,,,,,,,,,,,
MO021,US,Garrison [US]; Army of Missouri [CS],Garrison,,,,,,,,,,,,,,,,,,,
VA106,CS,"9,500 total (US 3,500; CS 6,000)","6,000",,,,,,,,,,,,,,,,,6000,6000,
VA106,US,"9,500 total (US 3,500; CS 6,000)","3,500",,,,,,,,,,,,,,,,,3500,3500,
MS015,CS,"1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops (14,000) [US]; Department of Alabama, Mississippi, and East Louisiana [CS]","Department of Alabama, Mississippi, and East Louisiana",,,,,,,,,,,,,,,,,,,
MS015,US,"1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops (14,000) [US]; Department of Alabama, Mississippi, and East Louisiana [CS]","1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops (14,000)",,,,,,,,,,,,,,,,,14000,14000,
VA010,CS,"72,591 total (US 40,768;CS 31,823)","31,823",,,,,,,,,,,,,,,,,31823,31823,
VA010,US,"72,591 total (US 40,768;CS 31,823)","40,768",,,,,,,,,,,,,,,,,40768,40768,
MS001,CS,"2nd Division and cavalry division, Army of the Mississippi (approx. 4,000-4,500) [US]; 1st Division, Army of the West (approx. 3,200) [CS]","1st Division, Army of the West (approx. 3,200)",,,,,,,,,,,,,,,,3200,,,
MS001,US,"2nd Division and cavalry division, Army of the Mississippi (approx. 4,000-4,500) [US]; 1st Division, Army of the West (approx. 3,200) [CS]","2nd Division and cavalry division, Army of the Mississippi (approx. 4,000-4,500)",,,,,,,,,,,,,,,,,4000,4000,
GA009,CS,Military Division of the Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA009,US,Military Division of the Mississippi [US]; Army of Tennessee [CS],Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,
MS002,CS,Army of the Mississippi [US]; Army of the West Tennessee [CS],Army of the West Tennessee,1,,,,,,,,,,,,,,,,,,
MS002,US,Army of the Mississippi [US]; Army of the West Tennessee [CS],Army of the Mississippi,1,,,,,,,,,,,,,,,,,,
GA028,CS,"2nd Division, XV Corps, Army of the Tennessee [US]; Fort McAllister Garrison (120 men) [CS]",Fort McAllister Garrison (120 men),,,,,,,,,,,,,,,,,120,120,
GA028,US,"2nd Division, XV Corps, Army of the Tennessee [US]; Fort McAllister Garrison (120 men) [CS]","2nd Division, XV Corps, Army of the Tennessee",,,,,,,,,,1,,,,,,,,,
NC003,CS,"Expeditionary Force and Foster's, Reno's, and Parke's Brigades [US]; 5 regiments, militia [CS]","5 regiments, militia",,,,,,,,,,,,,,5,,,,,
NC003,US,"Expeditionary Force and Foster's, Reno's, and Parke's Brigades [US]; 5 regiments, militia [CS]","Expeditionary Force and Foster's, Reno's, and Parke's Brigades",,,,,,,,,,,,,,,,,,,
VA097,CS,Armies,,1,,,,,,,,,,,,,,,,,,
VA097,US,Armies,,1,,,,,,,,,,,,,,,,,,
VA080,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA080,US,Corps,,,,,,,,,,1,,,,,,,,,,
TN010,CS,Army of the Cumberland [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
TN010,US,Army of the Cumberland [US]; Army of Tennessee [CS],Army of the Cumberland,1,,,,,,,,,,,,,,,,,,
VA057,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA057,US,Corps,,,,,,,,,,1,,,,,,,,,,
VA016,CS,"31,987 total (US 15,631; CS 16,356)","16,356",,,,,,,,,,,,,,,,,16356,16356,
VA016,US,"31,987 total (US 15,631; CS 16,356)","15,631",,,,,,,,,,,,,,,,,15631,15631,
MO014,CS,Garrison (approx. 300 [US]; 700-800[CS]),700-800,,,,,,,,,,,,,,,,,700,700,
MO014,US,Garrison (approx. 300 [US]; 700-800[CS]),Garrison (approx. 300,,,,,,,,,,,,,,,,,344,344,
ID001,US,District of Utah [US]; Shoshoni Indians [I],District of Utah,,,,,,,,,,,,,,,,,,,
ID001,I,District of Utah [US]; Shoshoni Indians [I],Shoshoni Indians,,,,,,,,,,,,,,,,,,,
MO005,CS,Kansas Cavalry Brigade (approx. 600) [US]; column of Missouri State Guard [CS],column of Missouri State Guard,,,,,,,,,,,,,,,,,,,
MO005,US,Kansas Cavalry Brigade (approx. 600) [US]; column of Missouri State Guard [CS],Kansas Cavalry Brigade (approx. 600),,,,,,,,,,,,,,,,,600,600,
VA023,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
VA023,US,Brigades,,,,1,,,,,,,,,,,,,,,,
AR008,CS,District of Eastern Arkansas [US]; District of Arkansas [CS],District of Arkansas,,,,,,,,,,,,,,,,,,,
AR008,US,District of Eastern Arkansas [US]; District of Arkansas [CS],District of Eastern Arkansas,,,,,,,,,,,,,,,,,,,
VA031,CS,"Divisions (45,000 total)",,,,,,,,,,,,,,,,,,,,
VA031,US,"Divisions (45,000 total)",,,,,,,,,,,,,,,,,,,,
LA019,CS,Red River Expeditionary Force (Banks's Department of the Gulf) [US]; District of West Louisiana [CS],District of West Louisiana,,,,,,,,,,,,,,,,,,,
LA019,US,Red River Expeditionary Force (Banks's Department of the Gulf) [US]; District of West Louisiana [CS],Red River Expeditionary Force (Banks's Department of the Gulf),,,,,,,,,,,,,,,,,,,
DC001,CS,Divisions,,,,,,,,,,,,,,,,,,,,
DC001,US,Divisions,,,,,,,,,,,,,,,,,,,,
KY001,CS,Home Guard (approx. 300 men) [US]; detachment of approx. 800 men under command of Col. Joel A. Battle [CS],detachment of approx. 800 men under command of Col. Joel A. Battle,,,,,,,,,,,,,,,,,800,800,
KY001,US,Home Guard (approx. 300 men) [US]; detachment of approx. 800 men under command of Col. Joel A. Battle [CS],Home Guard (approx. 300 men),,,,,,,,,,,,,,,,,300,300,
FL006,CS,"2nd U.S. Colored Infantry and 99th U.S. Colored Infantry [US]; Kilcrease Artillery; Dunham's Battery; Abell's Battery; 5th Florida Cavalry; 1st Florida Militia; Barwick's Company Reserves; Hodges Company Reserves; Company A, Milton Light Artillery; Companies A, B, and F, Reserves and reinforcements from Georgia amounting to approx. 1,000 men [CS]","Kilcrease Artillery; Dunham's Battery; Abell's Battery; 5th Florida Cavalry; 1st Florida Militia; Barwick's Company Reserves; Hodges Company Reserves; Company A, Milton Light Artillery; Companies A, B, and F, Reserves and reinforcements from Georgia amounting to approx. 1,000 men",,,,,,,,,,,,,,,,,1000,1000,
FL006,US,"2nd U.S. Colored Infantry and 99th U.S. Colored Infantry [US]; Kilcrease Artillery; Dunham's Battery; Abell's Battery; 5th Florida Cavalry; 1st Florida Militia; Barwick's Company Reserves; Hodges Company Reserves; Company A, Milton Light Artillery; Companies A, B, and F, Reserves and reinforcements from Georgia amounting to approx. 1,000 men [CS]",2nd U.S. Colored Infantry and 99th U.S. Colored Infantry,,,,,,,,,,,,,,2,,,,,
MO011,CS,"Detachments from the 1st and 2nd Missouri Cavalry, 4th Ohio Cavalry, and 1st Iowa Cavalry (450) [US]; unknown [CS]",unknown,,,,,,,,,,,,,,,,,,,
MO011,US,"Detachments from the 1st and 2nd Missouri Cavalry, 4th Ohio Cavalry, and 1st Iowa Cavalry (450) [US]; unknown [CS]","Detachments from the 1st and 2nd Missouri Cavalry, 4th Ohio Cavalry, and 1st Iowa Cavalry (450)",,,,,,,,,,,,,,,,,450,450,
VA099,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA099,US,Divisions,,,,,,,,,,,1,,,,,,,,,
GA011,CS,Military Division of Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA011,US,Military Division of Mississippi [US]; Army of Tennessee [CS],Military Division of Mississippi,,,,,,,,,,,,,,,,,,,
WV013,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
WV013,US,Divisions,,,,,,,,,,,1,,,,,,,,,
OK003,CS,Creek and Seminole [I]; McIntosh's and Douglas Cooper's brigades [CS],McIntosh's and Douglas Cooper's brigades,,,2,,,,,,,,,,,,,,,,
OK003,I,Creek and Seminole [I]; McIntosh's and Douglas Cooper's brigades [CS],Creek and Seminole,,,,,,,,,,,,,,,,,,,
MO017,CS,"Detachments of 10th Illinois Cavalry and State Militia (approx. 100 men) [US]; cavalry brigade (approx. 1,000 men) [CS]","cavalry brigade (approx. 1,000 men)",,,,,,,,,,,,,,,,,1000,1000,
MO017,US,"Detachments of 10th Illinois Cavalry and State Militia (approx. 100 men) [US]; cavalry brigade (approx. 1,000 men) [CS]",Detachments of 10th Illinois Cavalry and State Militia (approx. 100 men),,,,,,,,,,,,,,,,,113,113,
NC010,CS,"1st Division, XVIII Corps [US]; Hill's Division [CS]",Hill's Division,,,,,,,,,,1,,,,,,,,,
NC010,US,"1st Division, XVIII Corps [US]; Hill's Division [CS]","1st Division, XVIII Corps",,,,,,,,,,1,,,,,,,,,
VA048,CS,"152,000 total (US 100,000; CS 52,000)","52,000",,,,,,,,,,,,,,,,,52000,52000,
VA048,US,"152,000 total (US 100,000; CS 52,000)","100,000",,,,,,,,,,,,,,,,,100000,100000,
VA012,CS,5 gunboats [US]; battery garrison [CS],battery garrison,,,,,,,,,,,,,,,,,,,
VA012,US,5 gunboats [US]; battery garrison [CS],5 gunboats,,,,,,,,,,,5,,,,,,,,
TN013,CS,Infantry brigade [US]; I Cavalry Corps [CS],I Cavalry Corps,,,,,,,,,1,,,,,,,,,,
TN013,US,Infantry brigade [US]; I Cavalry Corps [CS],Infantry brigade,,,1,,,,,,,,,,,,,,,,
VA124,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
VA124,US,Brigades,,,,1,,,,,,,,,,,,,,,,
MD001,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
MD001,US,Brigades,,,,1,,,,,,,,,,,,,,,,
NC004,CS,"Parke's Division of Department of North Carolina, 3rd Division [US]; Fort Macon Garrison [CS]",Fort Macon Garrison,,,,,,,,,,,,,,,,,,,
NC004,US,"Parke's Division of Department of North Carolina, 3rd Division [US]; Fort Macon Garrison [CS]","Parke's Division of Department of North Carolina, 3rd Division",,,,,,,,,,,,,,,,,,,
OK005,CS,"Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers [US]; Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment [CS]","Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment",,,,,,,,,,,,,,1,,,,,
OK005,US,"Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers [US]; Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment [CS]",Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers,,,,,,,,3,,,,,,,,,,,
VA120,CS,"38,944 total (US 29,444; CS 9,500)","9,500",,,,,,,,,,,,,,,,,9500,9500,
VA120,US,"38,944 total (US 29,444; CS 9,500)","29,444",,,,,,,,,,,,,,,,,29444,29444,
AR005,CS,"Army of the Frontier [US]; I Corps, Trans-Mississippi Army [CS]","I Corps, Trans-Mississippi Army",,,,,,,,,1,,,,,,,,,,
AR005,US,"Army of the Frontier [US]; I Corps, Trans-Mississippi Army [CS]",Army of the Frontier,1,,,,,,,,,,,,,,,,,,
AR001,CS,Army of the Southwest [US]; Army of the West [CS],Army of the West,1,,,,,,,,,,,,,,,,,,
AR001,US,Army of the Southwest [US]; Army of the West [CS],Army of the Southwest,1,,,,,,,,,,,,,,,,,,
MO027,CS,Army of the Border [US]; Army of Missouri [CS],Army of Missouri,1,,,,,,,,,,,,,,,,,,
MO027,US,Army of the Border [US]; Army of Missouri [CS],Army of the Border,1,,,,,,,,,,,,,,,,,,
AR014,CS,"Brigade (1,100 men) [US]; Marmaduke's and Maxey's Divisions [CS]",Marmaduke's and Maxey's Divisions,,,,,,,,,,2,,,,,,,,,
AR014,US,"Brigade (1,100 men) [US]; Marmaduke's and Maxey's Divisions [CS]","Brigade (1,100 men)",,,,,,,,,,,,,,,,,1100,1100,
SC001,CS,Regiments: 580 total (US 80; CS 500),500,,,,,,,,,,,,,,,,,500,500,
SC001,US,Regiments: 580 total (US 80; CS 500),80,,,,,,,,,,,,,,,,,80,80,
TN025,CS,Department of the Ohio [US]; Confederate Forces in East Tennessee [CS],Confederate Forces in East Tennessee,,,,,,,,,,,,,,,,,,,
TN025,US,Department of the Ohio [US]; Confederate Forces in East Tennessee [CS],Department of the Ohio,,,,,,,,,,,,,,,,,,,
