battle,event_type,state,year,battle_name,start_date,end_date,text,cas_k,cas_w,cas_m,cas_mp,cas_kwm,cas_total
8617,Action,VA,1864,Aug. 11: Action near Newtown,1864-08-11,1864-08-11,"NEW YORK--4th, 6th, 9th and 19th Cavalry. PENNSYLVANIA--6th and 17th Cavalry. UNITED STATES--1st, 2d and 5th Cavalry; Batteries ""B & L,"" and ""D,"" 2d Arty.",,,,,,
8618,Skirmish,VA,1864,Aug. 11: Skirmish near Winchester,1864-08-11,1864-08-11,"MICHIGAN--1st, 5th, 6th and 7th Cavalry. UNITED STATES--Batteries ""C"" and ""F & K,"" 3d Arty.",,,,,,
8619,Skirmish,VA,1864,"Aug. 12: Skirmish, Cedar Creek",1864-08-12,1864-08-12,ILLINOIS--23d Infantry. WEST VIRGINIA--1st and 12th Infantry.,,,,,,
8620,Skirmish,VA,1864,Aug. 13: Skirmish near Strasburg,1864-08-13,1864-08-13,PENNSYLVANIA--93d and 139th Infantry.,,,,,,
8621,Action,VA,1864,"Aug. 13: Actions, Four Mile Creek and Dutch Gap",1864-08-13,1864-08-13,(No Reports.),,,,,,
8622,Skirmish,VA,1864,"Aug. 13: Skirmish, Crooked Run",1864-08-13,1864-08-13,NEW YORK--4th Cavalry.,,,,,,
8623,Skirmish,VA,1864,"Aug. 13: Skirmish, Signal Hill",1864-08-13,1864-08-13,NEW YORK--16th Heavy Arty.,,,,,,
8624,Skirmish,VA,1864,"Aug. 13: Skirmish, Dutch Gap",1864-08-13,1864-08-13,NEW YORK--169th Infantry.,,,,,,
8625,Affair,VA,1864,"Aug. 13: Affair, Berryville",1864-08-13,1864-08-13,OHIO--144th Infantry.,,,,,,
8626,Demonstration,VA,1864,"Aug. 13-20: Demonstration on north side of James River and engagements at Deep Bottom or Strawberry Plains, Fussell's Mills, Bailey's Creek, Deep Run, Charles City Cross Roads, New Market Road, White's Tavern and Four Mile Run",1864-08-13,1864-08-20,"CONNECTICUT--1st Battery Light Arty.; 6th, 7th, 10th, 14th and 29th (Colored) Infantry. DELAWARE--1st and 2d Infantry. DISTRICT OF COLUMBIA--1st Cavalry. ILLINOIS--39th Infantry. INDIANA--13th and 20th Infantry. MAINE--1st Cavalry; 1st Heavy Arty.; 6th Battery Light Arty.; 9th, 11th, 17th and 19th Infantry. MARYLAND--1st Cavalry. MASSACHUSETTS--1st and 4th Cavalry; 1st Heavy Arty.; 1st Company S. S.; 11th, 19th, 20th, 24th and 28th Infantry. MICHIGAN--5th, 7th and 26th Infantry. MINNESOTA--2d Company S. S.; 1st Infantry. NEW HAMPSHIRE--1st Battery Light Arty.; 3d, 4th, 5th and 7th Infantry. NEW JERSEY--1st Cavalry; Batteries ""B"" and ""D,"" Light Arty.; 5th, 6th, 7th, 8th, 11th and 12th Infantry. NEW YORK--10th Cavalry; 2d, 4th, 7th, 8th and 16th Heavy Arty.; Battery ""G,"" 1st Light Arty.; 11th Indpt. Battery Light Arty.; 7th, 10th, 39th, 40th, 47th, 48th, 52d, 57th, 59th, 61st, 63d, 64th, 66th, 69th, 72d, 73d, 86th, 88th, 93d, 100th, 108th, 111th, 115th, 120th, 124th, 125th, 126th, 152d, 155th, 164th, 169th, 170th and 182d Infantry. OHIO--6th Cavalry; 4th, 62d and 67th Infantry. PENNSYLVANIA--1st, 2d, 4th, 8th, 13th and 16th Cavalry. Battery ""F,"" 1st Light Arty.; 53d, 57th, 63d, 69th, 76th, 81st, 84th, 85th, 97th, 99th, 105th, 106th, 110th, 116th, 140th, 141st, 145th, 148th, 183d and 184th Infantry. RHODE ISLAND--Battery ""B,"" 1st Light Arty.; Battery ""C,"" 3d Arty. WEST VIRGINIA--7th Infantry. WISCONSIN--36th Infantry. UNITED STATES--Batteries ""C & D,"" 1st Arty.; ""A,"" 2d Arty.; ""K,"" 4th Arty.; 1st and 2d Sharpshooters; 7th, 8th and 9th Colored Infantry. Union loss, 328 killed, 1,852 wounded, 721 captured and missing. Total, 2,901.",,,,721,,290
8627,Skirmish,VA,1864,"Aug. 14: Skirmish, Malvern Hill",1864-08-14,1864-08-14,MASSACHUSETTS--1st Cavalry.,,,,,,
8628,Combat,VA,1864,"Aug. 14: Combat, Gravel Hill",1864-08-14,1864-08-14,"MAINE--1st Cavalry. MASSACHUSETTS--1st Cavalry. NEW JERSEY--1st Cavalry. NEW YORK--10th Cavalry. PENNSYLVANIA--1st, 2d, 4th, 8th, 13th and 16th Cavalry. UNITED STATES--Battery ""A,"" 2d Arty. Union loss, 3 killed, 18 wounded. Total, 21.",,18,,,3,21
8629,Skirmish,VA,1864,Aug. 14: Skirmish near Strasburg,1864-08-14,1864-08-14,"NEW JERSEY--4th, 10th and 15th Infantry. NEW YORK--9th Cavalry. PENNSYLVANIA--6th Cavalry. UNITED STATES--1st, 2d and 5th Cavalry.",,,,,,
8630,Engagement,VA,1864,"Aug. 15: Engagement, Strasburg",1864-08-15,1864-08-15,"NEW JERSEY--4th, 10th and 15th Infantry. NEW YORK--1st (Lincoln) Cavalry. OHIO--23d Infantry. WEST VIRGINIA--12th and 14th Infantry. Union loss, 30 wounded.",0,30,0,0,0,30
8631,Action,VA,1864,"Aug. 15: Action, Malvern Hill",1864-08-15,1864-08-15,"NEW JERSEY--Battery ""D,"" 1st Light Arty.",,,,,,
8632,Skirmish,VA,1864,"Aug. 15: Skirmish, Winchester",1864-08-15,1864-08-15,PENNSYLVANIA--18th Cavalry.,,,,,,
8633,Skirmish,VA,1864,"Aug. 15: Skirmish, Cedarville",1864-08-15,1864-08-15,NEW YORK--9th Cavalry.,,,,,,
8634,Skirmish,VA,1864,"Aug. 15: Skirmish, Cedar Creek",1864-08-15,1864-08-15,NEW JERSEY--4th Infantry. OHIO--36th Infantry.,,,,,,
8635,Engagement,VA,1864,"Aug. 16: Engagement, Cedarville, Guard Hill or Front Royal",1864-08-16,1864-08-16,"MICHIGAN--1st, 5th, 6th and 7th Cavalry. NEW YORK--4th, 6th, 9th and 25th Cavalry. PENNSYLVANIA--17th Cavalry. UNITED STATES--Battery ""B & L,"" 2d Arty. Union loss, 13 killed, 58 wounded. Total, 71.",,58,,,13,71
8636,Action,VA,1864,"Aug. 16: Action, Malvern Hill",1864-08-16,1864-08-16,"NEW JERSEY--Battery ""D,"" Light Arty. PENNSYLVANIA--1st Cavalry.",,,,,,
8637,Skirmish,VA,1864,"Aug. 16: Skirmish, Strasburg",1864-08-16,1864-08-16,NEW JERSEY--10th Infantry. WEST VIRGINIA--10th Infantry.,,,,,,
8638,Skirmish,VA,1864,"Aug. 16: Skirmish, Dutch Gap",1864-08-16,1864-08-16,NEW YORK--16th Heavy Arty. (Detachment).,,,,,,
8639,Skirmish,VA,1864,"Aug. 16: Skirmish, Berryville",1864-08-16,1864-08-16,NEW YORK--1st Veteran Cavalry.,,,,,,
8640,Skirmish,VA,1864,"Aug. 16: Skirmish, Crooked Run",1864-08-16,1864-08-16,NEW YORK--6th Cavalry.,,,,,,
8641,Action,VA,1864,"Aug. 16: Action, Massametton Mt",1864-08-16,1864-08-16,WEST VIRGINIA--10th Infantry.,,,,,,
8642,Action,VA,1864,"Aug. 17: Action, Winchester",1864-08-17,1864-08-17,"CONNECTICUT--1st Cavalry. INDIANA--3d Cavalry. ILLINOIS--23d Infantry. MARYLAND--1st P. H. B. Cavalry. MASSACHUSETTS--2d Cavalry. NEW HAMPSHIRE--1st Cavalry. NEW JERSEY--2d Cavalry; 4th 10th and 15th Infantry. NEW YORK--2d, 5th, 8th, 22d and 25th Cavalry. OHIO--2d Cavalry. PENNSYLVANIA--18th Cavalry. VERMONT--1st Cavalry. WEST VIRGINIA--10th Infantry. UNITED STATES--Battery ""M,"" 2d Arty. Union loss, 50 wounded, 200 missing. Total, 250.",,50,200,,,250
8643,Skirmish,VA,1864,"Aug. 18: Skirmish, White Oak Swamp",1864-08-18,1864-08-18,PENNSYLVANIA--4th Cavalry.,,,,,,
8644,Skirmish,VA,1864,"Aug. 18: Skirmish, Fussell's Mills",1864-08-18,1864-08-18,"NEW JERSEY--Battery ""B,"" Light Arty.",,,,,,
8645,Action,VA,1864,"Aug. 18: Action, Malvern Hill",1864-08-18,1864-08-18,PENNSYLVANIA--2d Cavalry.,,,,,,
8646,Action,VA,1864,"Aug. 18: Action, Front Royal",1864-08-18,1864-08-18,MICHIGAN--1st Cavalry.,,,,,,
8647,Skirmish,VA,1864,"Aug. 18: Skirmish, Opequan Creek",1864-08-18,1864-08-18,MARYLAND--1st P. H. B. Cavalry. MASSACHUSETTS--2d Cavalry. NEW YORK--25th Cavalry.,,,,,,
8648,Action,VA,1864,"Aug. 18-19: Action, Fussell's Mills",1864-08-18,1864-08-19,MASSACHUSETTS--4th Cavalry.,,,,,,
8649,Battle,VA,1864,"Aug. 18-21: Battle of Weldon R. R., Globe Tavern or Yellow House and Blick's Station or Six Mile House",1864-08-18,1864-08-21,"DELAWARE--3d and 4th Infantry. DISTRICT OF COLUMBIA--1st Cavalry. INDIANA--7th and 19th Infantry. MAINE--16th, 20th, 31st and 32d Infantry. MARYLAND--Purnell Legion Cavalry; 1st, 2d, 3d, 4th, 7th, 8th and Purnell Legion Infantry. MASSACHUSETTS--1st Cavalry; 3d, 5th, 9th, 11th and 14th Batteries Light Arty.; 18th, 21st, 29th, 32d, 35th, 36th, 39th, 56th, 57th, 58th and 59th Infantry. MICHIGAN--1st Sharpshooters; Brady's and Jardine's Sharpshooters; 1st, 2d, 8th, 16th, 17th, 20th, 24th and 27th Infantry. NEW HAMPSHIRE--6th, 9th and 11th Infantry. NEW JERSEY--1st Cavalry. NEW YORK--10th and 24th (Dismounted) Cavalry; 2d Mounted Rifles; 14th and 15th Heavy Arty.; Batteries ""B,"" ""C,"" ""D,"" ""H"" and ""L,"" 1st Light Arty.; 15th and 19th Indpt. Batteries Light Arty.; 1st Battalion Sharpshooters; 44th, 46th, 51st, 76th, 94th, 95th, 97th, 104th, 109th, 140th, 146th, 147th and 179th Infantry. OHIO--6th and 13th Cavalry; 60th Infantry. PENNSYLVANIA--1st, 4th (Detachment), 11th and 21st Cavalry; 2d Provisional Heavy Arty.; Battery ""B,"" 1st Light Arty.; 11th, 45th, 48th, 50th, 51st, 56th, 83d, 88th, 90th, 91st, 100th, 107th, 118th, 121st, 142d, 143d, 149th, 150th, 155th, 157th, 187th, 190th and 191st Infantry. RHODE ISLAND--4th and 7th Infantry. VERMONT--17th Infantry. WISCONSIN--2d, 6th, 7th, 37th and 38th Infantry. UNITED STATES--Batteries ""C"" and ""D,"" 5th Arty.; 10th, 11th, 12th, 14th and 17th Infantry. Union loss, 251 killed, 1,149 wounded, 2,879 captured and missing. Total, 4,279.",,,,,,427
8650,Skirmish,VA,1864,"Aug. 19: Skirmish, Snicker's Gap Pike",1864-08-19,1864-08-19,"MICHIGAN--5th Cavalry (Detachment). Union loss, 30 killed, 3 wounded. Total, 33.",,3,,,30,33
8651,Skirmish,VA,1864,"Aug. 19: Skirmish, Berryville and Winchester Pike, near Opequan Creek",1864-08-19,1864-08-19,MARYLAND--1st P. H. B. Cavalry. MASSACHUSETTS--2d Cavalry. PENNSYLVANIA--22d Cavalry.,,,,,,
8652,Skirmish,VA,1864,Aug. 19-20: Skirmishes near Berryville,1864-08-19,1864-08-20,MICHIGAN--5th Cavalry. WEST VIRGINIA--9th Infantry.,,,,,,
8653,Skirmish,VA,1864,"Aug. 20: Skirmish, Opequan Creek",1864-08-20,1864-08-20,MARYLAND--1st P. H. B. Cavalry. MASSACHUSETTS--2d Cavalry. PENNSYLVANIA--22d Cavalry.,,,,,,
8654,Skirmish,VA,1864,"Aug. 21: Skirmish, Loudon County",1864-08-21,1864-08-21,VIRGINIA--Loudon Rangers.,,,,,,
8655,Skirmish,VA,1864,Aug. 21: Skirmish near Berryville,1864-08-21,1864-08-21,MARYLAND--1st P. H. B. Cavalry. MASSACHUSETTS--2d Cavalry. PENNSYLVANIA--22d Cavalry.,,,,,,
8656,Skirmish,VA,1864,"Aug. 21: Skirmish, Point Pleasant",1864-08-21,1864-08-21,NEW JERSEY--10th Infantry.,,,,,,
8657,Skirmish,VA,1864,"Aug. 22: Skirmish, Vaughan Road",1864-08-22,1864-08-22,DISTRICT OF COLUMBIA--1st Cavalry. PENNSYLVANIA--11th Cavalry.,,,,,,
8658,Action,VA,1864,"Aug. 23: Action. Dinwiddie Road, near Ream's Station",1864-08-23,1864-08-23,"DISTRICT OF COLUMBIA--1st Cavalry. MAINE--1st Cavalry. MASSACHUSETTS--1st Cavalry. NEW JERSEY--1st Cavalry. NEW YORK--10th Cavalry. OHIO--6th Cavalry. PENNSYLVANIA--1st, 2d, 4th, 8th, 11th and 16th Cavalry. UNITED STATES--Battery ""A,"" 2d Arty.",,,,,,
8659,Skirmish,VA,1864,"Aug. 24: Skirmish, Annandale",1864-08-24,1864-08-24,NEW YORK--16th Cavalry (Detachment).,,,,,,
8660,Skirmish,VA,1864,"Aug. 24: Skirmish, Bermuda Hundred",1864-08-24,1864-08-24,UNITED STATES--7th Colored Infantry.,,,,,,
8661,Skirmish,VA,1864,"Aug. 24: Skirmish, Dutch Gap",1864-08-24,1864-08-24,UNITED STATES--22d Colored Infantry.,,,,,,
8662,Action,VA,1864,"Aug. 24: Action, Vaughan Road, near Ream's Station, Weldon R. R.",1864-08-24,1864-08-24,DISTRICT OF COLUMBIA--1st Cavalry. PENNSYLVANIA--11th Cavalry.,,,,,,
8663,Action,VA,1864,"Aug. 24-25: Action, Bermuda Hundred",1864-08-24,1864-08-25,"NEW YORK--48th and 112th Infantry. PENNSYLVANIA--97th Infantry. UNITED STATES--7th Colored Infantry. Union loss, 31 wounded.",0,31,0,0,0,31
8664,Battle,VA,1864,"Aug. 25: Battle, Ream's Station",1864-08-25,1864-08-25,"CONNECTICUT--14th Infantry. DELAWARE--1st Cavalry; 1st and 2d Infantry. DISTRICT OF COLUMBIA--1st Cavalry. INDIANA--20th Infantry. MAINE--1st Cavalry; 7th Battery Light Arty.; 19th Infantry. MASSACHUSETTS--1st Cavalry; 10th Battery Light Arty.; 1st Company S. S.; 19th, 20th and 28th Infantry. MICHIGAN--2d, 7th and 26th Infantry. MINNESOTA--2d Company S. S.; 1st Infantry. NEW HAMPSHIRE--5th Infantry. NEW JERSEY--1st Cavalry; Battery ""C,"" Light Arty.; 12th Infantry. NEW YORK--10th and 24th Cavalry; 2d, 4th, 7th and 8th Heavy Arty.; 12th Indpt. Battery Light Arty.; 7th, 10th, 39th, 52d, 57th, 59th, 61st, 63d, 64th, 66th, 69th, 88th, 108th, 109th, 111th, 125th, 126th, 152d, 155th, 164th, 170th and 182d Infantry. OHIO--6th Cavalry; 4th Infantry. PENNSYLVANIA--1st, 2d, 4th, 8th, 11th, 13th and 16th Cavalry; 53d, 69th, 81st, 106th, 116th, 140th, 141st, 145th, 148th, 183d and 184th Infantry. RHODE ISLAND--Batteries ""A"" and ""B,"" 1st Light Arty. WEST VIRGINIA--7th Infantry. WISCONSIN--36th Infantry. Union loss, 140 killed, 529 wounded, 2,073 captured and missing. Total. 2,742.",,,,,,274
8665,Skirmish,VA,1864,Aug. 27: Skirmish near Richmond,1864-08-27,1864-08-27,MASSACHUSETTS--40th Infantry.,,,,,,
8666,Skirmish,VA,1864,"Aug. 29: Skirmish, Big Springs",1864-08-29,1864-08-29,WEST VIRGINIA--3d Cavalry.,,,,,,
8667,Affair,VA,1864,Aug. 31: Affair near Davis' House,1864-08-31,1864-08-31,"Picket attack. Union loss, 1 killed, 3 wounded, 8 missing. Total, 12.",,3,8,,1,12
8668,Skirmish,VA,1864,"Sept. 1: Skirmish, Stephenson's Depot",1864-09-01,1864-09-01,NEW YORK--1st (Lincoln) Cavalry.,,,,,,
8669,Skirmish,VA,1864,"Sept. 1: Skirmish, Prince George Court House",1864-09-01,1864-09-01,DISTRICT OF COLUMBIA--1st Cavalry.,,,,,,
8670,Skirmish,VA,1864,"Sept. 2: Skirmish, Deep Bottom",1864-09-02,1864-09-02,UNITED STATES--2d Colored Cavalry.,,,,,,
8671,Reconn,VA,1864,"Sept. 2: Reconnoissance beyond Yellow Tavern, Weldon R. R.",1864-09-02,1864-09-02,MAINE--1st Cavalry.,,,,,,
8672,Skirmish,VA,1864,"Sept. 2: Skirmish, Yellow Tavern",1864-09-02,1864-09-02,MAINE--1st Cavalry. NEW YORK--10th Cavalry.,,,,,,
8673,Skirmish,VA,1864,"Sept. 3: Skirmish, White Post",1864-09-03,1864-09-03,MARYLAND--1st P. H. B. Cavalry. OHIO--2d Cavalry.,,,,,,
8674,Skirmish,VA,1864,"Sept. 3: Skirmishes, Blackwater River and Sycamore Church",1864-09-03,1864-09-03,"DISTRICT OF COLUMBIA--1st Cavalry. Union loss, 1 killed, 3 wounded. Total, 4.",,3,,,1,4
8675,Engagement,VA,1864,"Sept. 3: Engagement, Berryville",1864-09-03,1864-09-03,"ILLINOIS--23d Infantry. INDIANA--8th Infantry. IOWA--22d Infantry. MARYLAND--2d Eastern Shore Infantry. MASSACHUSETTS--34th Infantry. NEW YORK--6th and 25th Cavalry; 5th Heavy Arty. OHIO--Battery ""L,"" 1st Light Arty.; 23d, 34th, 36th, 91st, 116th and 123d Infantry. PENNSYLVANIA--Battery ""D,"" 1st Light Arty.; 54th Infantry. WEST VIRGINIA--4th, 5th, 9th, 10th, 11th, 12th, 13th, 14th and 15th Infantry. UNITED STATES--Battery ""B,"" 5th Arty. Union loss, 23 killed, 124 wounded, 19 missing. Total, 166.",,124,19,,23,166
8676,Skirmish,VA,1864,"Sept. 4: Skirmish, Myer's Ford",1864-09-04,1864-09-04,Blazer's Scouts.,,,,,,
8677,Skirmish,VA,1864,"Sept. 4: Skirmish, Berryville",1864-09-04,1864-09-04,MICHIGAN--1st and 6th Cavalry.,,,,,,
8678,Skirmish,VA,1864,"Sept. 5: Skirmish, Winchester",1864-09-05,1864-09-05,PENNSYLVANIA--14th Cavalry.,,,,,,
8679,Skirmish,VA,1864,Sept. 5: Skirmish near Stephenson's Depot,1864-09-05,1864-09-05,"NEW YORK--1st (Lincoln) Cavalry. WEST VIRGINIA--1st, 2d and 3d Cavalry.",,,,,,
8680,Reconn,VA,1864,Sept. 5-6: Reconnoissance to Sycamore Church,1864-09-05,1864-09-06,NEW YORK--3d Cavalry.,,,,,,
8681,Skirmish,VA,1864,"Sept. 6: Skirmish, Deep Bottom",1864-09-06,1864-09-06,UNITED STATES--2d Colored Cavalry.,,,,,,
8682,Skirmish,VA,1864,"Sept. 7: Skirmish, Dutch Gap",1864-09-07,1864-09-07,"UNITED STATES--4th Colored Infantry. Union loss, 5 killed, 4 wounded. Total, 9.",,4,,,5,9
8683,Skirmish,VA,1864,Sept. 7: Skirmishes near Brucetown and near Winchester,1864-09-07,1864-09-07,INDIANA--3d Cavalry. NEW HAMPSHIRE--1st Cavalry. NEW YORK--8th and 22d Cavalry. VERMONT--1st Cavalry.,,,,,,
8684,Skirmish,VA,1864,"Sept. 8: Skirmish, Berryville",1864-09-08,1864-09-08,NEW YORK--176th Infantry.,,,,,,
8685,Skirmish,VA,1864,"Sept. 9: Skirmish, Currituck Bridge",1864-09-09,1864-09-09,MASSACHUSETTS--23d Infantry (Detachment).,,,,,,
8686,Assault,VA,1864,Sept. 10: Assault on the Chimneys before Fort Hell,1864-09-10,1864-09-10,"INDIANA--20th Infantry. UNITED STATES--2d Sharpshooters. Union loss, 8 killed, 14 wounded, 59 missing. Total, 81.",,14,59,,8,81
8687,Affair,VA,1864,Sept. 13: Affair near Berryville,1864-09-13,1864-09-13,OHIO--144th Infantry.,,,,,,
8688,Action,VA,1864,"Sept. 13: Action, Abraham's Creek, near Winchester",1864-09-13,1864-09-13,"CONNECTICUT--1st Cavalry. NEW JERSEY--3d Cavalry. NEW YORK--2d and 5th Cavalry. OHIO--2d Cavalry. PENNSYLVANIA--18th Cavalry. UNITED STATES--Battery ""M,"" 2d Arty.",,,,,,
8689,Demonstration,VA,1864,"Sept. 13: Demonstration on Gilbert's Ford, Opequan Creek",1864-09-13,1864-09-13,"MAINE--1st Veteran Infantry. NEW YORK--43d, 49th, 62d, 77th and 122d Infantry. PENNSYLVANIA--61st, 93d, 98th, 102d and 139th Infantry. VERMONT--1st Heavy Arty.; 2d, 3d, 4th, 5th and 6th Infantry.",,,,,,
8690,Demonstration,VA,1864,"Sept. 13: Demonstration on Locke's Ford, Opequan Creek",1864-09-13,1864-09-13,"MASSACHUSETTS--2d Cavalry. MICHIGAN--1st, 5th, 6th and 7th Cavalry. UNITED STATES--1st, 2d and 5th Cavalry. Union loss, 2 killed, 18 wounded. Total, 20.",,18,,,2,20
8691,Reconn,VA,1864,Sept. 13: Reconnoissance to Poplas Springs Church,1864-09-13,1864-09-13,PENNSYLVANIA--4th and 16th Cavalry.,,,,,,
8692,Skirmish,VA,1864,"Sept. 14: Skirmish, Hawkinsville",1864-09-14,1864-09-14,MASSACHUSETTS--1st Cavalry.,,,,,,
8693,Skirmish,VA,1864,Sept. 14: Skirmish near Berryville,1864-09-14,1864-09-14,"NEW YORK--1st (Lincoln) Cavalry. OHIO--8th Cavalry. PENNSYLVANIA--14th and 22d Cavalry. WEST VIRGINIA--1st, 2d and 3d Cavalry. UNITED STATES--Battery ""L"" 5th Arty.",,,,,,
8694,Reconn,VA,1864,Sept. 15: Reconnoissance toward Dinwiddie Court House,1864-09-15,1864-09-15,"MAINE--16th Infantry. MASSACHUSETTS--39th Infantry. NEW YORK--94th, 97th and 104th Infantry. PENNSYLVANIA--4th and 16th Cavalry; 11th, 90th and 107th Infantry.",,,,,,
8695,Skirmish,VA,1864,"Sept. 15: Skirmish, Jerusalem Plank Road",1864-09-15,1864-09-15,PENNSYLVANIA--11th Cavalry.,,,,,,
8696,Action,VA,1864,"Sept. 15: Action, Sevier's Ford, Opequan Creek",1864-09-15,1864-09-15,"MASSACHUSETTS--2d Cavalry. MICHIGAN--1st, 5th, 6th and 7th Cavalry. NEW YORK--4th, 6th, 9th, 19th and 25th Cavalry. PENNSYLVANIA--17th Cavalry. UNITED STATES--1st, 2d and 5th Cavalry; Batteries ""K and L"" 1st Arty., ""D"" 2d Arty.",,,,,,
8697,Skirmish,VA,1864,"Sept. 16: Skirmish, Stony Creek",1864-09-16,1864-09-16,MAINE--1st Cavalry. NEW YORK--10th Cavalry.,,,,,,
8698,Affair,VA,1864,"Sept. 16: Affair, Coggin's Point",1864-09-16,1864-09-16,DISTRICT OF COLUMBIA--1st Cavalry. PENNSYLVANIA--13th Cavalry.,,,,,,
8699,Action,VA,1864,"Sept. 16: Action, Sycamore Church",1864-09-16,1864-09-16,"DISTRICT OF COLUMBIA--1st Cavalry. NEW YORK--3d Cavalry. PENNSYLVANIA--11th Cavalry. Union loss, 400 killed, wounded and missing.",400,0,0,0,0,400
8700,Skirmish,VA,1864,"Sept. 16: Skirmish, Fort Powhatan",1864-09-16,1864-09-16,NEW YORK--7th Cavalry (1st M. R.). PENNSYLVANIA--13th Cavalry.,,,,,,
8701,Skirmish,VA,1864,"Sept. 16: Skirmish, Jerusalem Plank Road",1864-09-16,1864-09-16,MASSACHUSETTS--1st Cavalry.,,,,,,
8702,Skirmish,VA,1864,"Sept. 16-17: Skirmishes, Snicker's Gap",1864-09-16,1864-09-17,NEW YORK--8th Cavalry.,,,,,,
8703,Skirmish,VA,1864,"Sept. 17: Skirmish, Fairfax Station",1864-09-17,1864-09-17,"NEW YORK--13th and 16th Cavalry (Detachments). Union loss, 41 wounded.",0,41,0,0,0,41
8704,Action,VA,1864,"Sept. 17: Action, Belcher's Mills",1864-09-17,1864-09-17,"MAINE--1st Cavalry. MASSACHUSETTS--1st Cavalry. NEW YORK--1st and 10th Cavalry. OHIO--6th Cavalry. PENNSYLVANIA--1st, 2d, 4th, 8th and 16th Cavalry. Union loss, 25 wounded.",0,25,0,0,0,25
8705,Skirmish,VA,1864,"Sept. 17: Skirmish, Limestone Ridge",1864-09-17,1864-09-17,PENNSYLVANIA--18th Cavalry.,,,,,,
8706,Defence,VA,1864,Sept. 18: Defence of City Point,1864-09-18,1864-09-18,MAINE--2d Battery Light Arty.,,,,,,
8707,Scout,VA,1864,Sept. 19: Scout to Lee's Mills and Proctor's House,1864-09-19,1864-09-19,MAINE--1st Cavalry (Detachment).,,,,,,
8708,Skirmish,VA,1864,"Sept. 19: Skirmish, Culpeper",1864-09-19,1864-09-19,NEW YORK--16th Cavalry (Detachment).,,,,,,
8709,Battle,VA,1864,"Sept. 19: Battle of Opequan, Winchester",1864-09-19,1864-09-19,"CONNECTICUT--1st Cavalry; 2d Heavy Arty.; 9th, 12th and 13th Infantry. ILLINOIS--23d Infantry. INDIANA--3d Cavalry (2 Cos.); 17th Indpt. Battery Light Arty.; 8th, 11th and 18th Infantry. IOWA--22d, 24th and 28th Infantry. MAINE--1st and 5th Battery Light Arty.; 1st Veteran; 12th, 14th and 29th Infantry. MARYLAND--6th Infantry. MASSACHUSETTS--2d and 3d Cavalry; 1st Indpt. Battery Light Arty.; 26th, 30th, 34th, 37th, 38th Infantry. MICHIGAN--1st, 5th, 6th and 7th Cavalry. NEW HAMPSHIRE--14th Infantry. NEW JERSEY--3d Cavalry; 4th, 10th, 14th and 15th Infantry. NEW YORK--1st, 2d, 4th, 5th, 6th, 8th, 9th, 19th, 22d and 25th Cavalry; 5th and 9th Heavy Arty., 1st and 5th Indpt. Batteries Light Arty.; 43d, 49th, 62d, 65th, 75th, 77th, 90th, 106th, 114th, 116th, 121st, 122d, 128th, 131st, 151st, 153d, 156th, 159th, 175th and 176th Infantry. OHIO--2d and 8th (Detachment) Cavalry; Battery ""L"" 1st Light Arty.; 23d, 34th, 36th, 91st, 110th, 116th, 122d, 123d and 126th Infantry. PENNSYLVANIA--14th, 17th, 18th and 22d Cavalry; Battery ""D"" 1st Light Arty.; 47th, 49th, 54th, 61st, 67th, 82d, 87th, 93d, 95th, 96th, 98th, 102d, 119th, 138th, 139th Infantry. RHODE ISLAND--1st Cavalry; Batteries ""C,"" ""D"" and ""G"" 1st Light Arty.; 2d Infantry. VERMONT--1st Cavalry; 1st Heavy Arty.; 2d, 3d, 4th, 5th, 6th, 8th and 10th Infantry. WEST VIRGINIA--1st, 2d and 3d Cavalry; 9th, 10th, 11th, 13th, 14th and 15th Infantry. WISCONSIN--5th Infantry. UNITED STATES--1st, 2d, 5th and 6th Cavalry; Batteries ""K & L"" 1st Arty., ""B & L"" 2d Arty., ""B"" 5th Arty. Union loss, 697 killed, 3,983 wounded, 338 missing. Total, 5,018.",,,338,,,501
8710,Skirmish,VA,1864,"Sept. 20: Skirmishes, Middletown and Strasburg",1864-09-20,1864-09-20,"NEW YORK--4th, 6th, 9th and 19th Cavalry. PENNSYLVANIA--17th Cavalry.",,,,,,
8711,Skirmish,VA,1864,Sept. 20: Skirmish near Cedarville,1864-09-20,1864-09-20,"CONNECTICUT--1st Cavalry. INDIANA--3d Cavalry. NEW HAMPSHIRE--1st Cavalry. NEW JERSEY--3d Cavalry. NEW YORK--2d, 5th, 8th and 22d Cavalry. OHIO--2d Cavalry. PENNSYLVANIA--18th Cavalry. VERMONT--1st Cavalry. UNITED STATES--Batteries ""B & L"" and ""M"" 2d Arty.",,,,,,
8712,Action,VA,1864,"Sept. 21: Action, Strasburg",1864-09-21,1864-09-21,"INDIANA--17th Battery Light Arty. NEW YORK--62d Infantry. PENNSYLVANIA--93d, 98th, 102d and 139th Infantry. RHODE ISLAND--Battery ""D"" 1st Light Arty.",,,,,,
