BattlefieldCode,BattleName,BattleType,CampaignCode,CampaignDates,CampaignName,Comment,EndDate,ID,Result,ShortSummary,ShortSummarySource,State,Summary,SummarySource,TheaterCode,TheaterName,TotalCasualties
TN036,Franklin II,No Data,MW64-13,September-December 1864,Savannah Campaign,,11/30/1864,586,Union Victory,"Having lost a good opportunity at Spring Hill to hurt significantly the Union Army, Gen. John B. Hood marched in rapid pursuit of Maj. Gen. John M. Schofield’s retreating Union army. Schofield’s advance reached Franklin about sunrise on November 30 and quickly formed a defensive line in works thrown up by the Yankees in the spring of 1863, on the southern edge of town. Schofield wished to remain in Franklin to repair the bridges and get his supply trains over them. Skirmishing at Thompson’s Station and elsewhere delayed Hood’s march, but, around 4:00 pm, he marshaled a frontal attack against the Union perimeter. Two Federal brigades holding a forward position gave way and retreated to the inner works, but their comrades ultimately held in a battle that caused frightening casualties. When the battle ceased, after dark, six Confederate generals were dead or had mortal wounds. Despite this terrible loss, Hood’s army, late, depleted and worn, crawled on toward Nashville.",,TN,"Having lost a good opportunity at Spring Hill to hurt significantly the Union Army, Gen. John B. Hood marched in rapid pursuit of Maj. Gen. John M. Schofield’s retreating Union army. Schofield’s advance reached Franklin about sunrise on November 30 and quickly formed a defensive line in works thrown up by the Yankees in the spring of 1863, on the southern edge of town. Schofield wished to remain in Franklin to repair the bridges and get his supply trains over them. Skirmishing at Thompson’s Station and elsewhere delayed Hood’s march, but, around 4:00 pm, he marshaled a frontal attack against the Union perimeter. Two Federal brigades holding a forward position gave way and retreated to the inner works, but their comrades ultimately held in a battle that caused frightening casualties. When the battle ceased, after dark, six Confederate generals were dead or had mortal wounds. Despite this terrible loss, Hood’s army, late, depleted and worn, crawled on toward Nashville.",,MW,Main Western Theater Minus the Gulf Approach,9933
TN037,Murfreesboro II,Demonstration,MW64-13,September-December 1864,Savannah Campaign,,12/7/1864,587,Union Victory,"In a last, desperate attempt to force Maj. Gen. William T. Sherman’s army out of Georgia, Gen. John Bell Hood led the Army of Tennessee north toward Nashville in November 1864. Although he suffered a terrible loss at Franklin, he continued toward Nashville. In operating against Nashville, he decided that destruction of the Nashville & Chattanooga Railroad and disruption of the Union army supply depot at Murfreesboro would help his cause. He sent Maj. Gen. Nathan Bedford Forrest, on December 4, with an expedition, composed of two cavalry divisions and Maj. Gen. William B. Bate’s infantry division, to Murfreesboro. On December 2, Hood had ordered Bate to destroy the railroad and blockhouses between Murfreesboro and Nashville and join Forrest for further operations;  on December 4, Bate’s division attacked Blockhouse No. 7 protecting the railroad crossing at Overall Creek, but Union forces fought it off. On the morning of the 5th, Forrest headed out toward Murfreesboro, splitting his force, one column to attack the fort on the hill and the other to take Blockhouse No. 4, both at La Vergne. Upon his demand for surrender at both locations, the Union garrisons did so. Outside La Vergne, Forrest hooked up with Bate’s division and the command advanced on to Murfreesboro along two roads, driving the Yankees into their Fortress Rosencrans fortifications, and encamped in the city outskirts for the night. The next morning, on the 6th, Forrest ordered Bate’s division to “move upon the enemy’s works.” Fighting flared for a couple of hours, but the Yankees ceased firing and both sides glared at each other for the rest of the day. Brig. Gen. Claudius Sears’s and Brig. Gen. Joseph B. Palmer’s infantry brigades joined Forrest’s command in the evening, further swelling his numbers. On the morning of the 7th, Maj. Gen. Lovell Rousseau, commanding all of the forces at Murfreesboro, sent two brigades out under Brig. Gen. Robert Milroy on the Salem Pike to feel out the enemy. These troops engaged the Confederates and fighting continued. At one point some of Forrest’s troops broke and ran causing disorder in the Rebel ranks; even entreaties from Forrest and Bate did not stem the rout of these units. The rest of Forrest’s command conducted an orderly retreat from the field and encamped for the night outside Murfreesboro. Forrest had destroyed railroad track, blockhouses, and some homes and generally disrupted Union operations in the area, but he did not accomplish much else. The raid on Murfreesboro was a minor irritation.",,TN,"In a last, desperate attempt to force Maj. Gen. William T. Sherman’s army out of Georgia, Gen. John Bell Hood led the Army of Tennessee north toward Nashville in November 1864. Although he suffered a terrible loss at Franklin, he continued toward Nashville. In operating against Nashville, he decided that destruction of the Nashville & Chattanooga Railroad and disruption of the Union army supply depot at Murfreesboro would help his cause. He sent Maj. Gen. Nathan Bedford Forrest, on December 4, with an expedition, composed of two cavalry divisions and Maj. Gen. William B. Bate’s infantry division, to Murfreesboro. On December 2, Hood had ordered Bate to destroy the railroad and blockhouses between Murfreesboro and Nashville and join Forrest for further operations;  on December 4, Bate’s division attacked Blockhouse No. 7 protecting the railroad crossing at Overall Creek, but Union forces fought it off. On the morning of the 5th, Forrest headed out toward Murfreesboro, splitting his force, one column to attack the fort on the hill and the other to take Blockhouse No. 4, both at La Vergne. Upon his demand for surrender at both locations, the Union garrisons did so. Outside La Vergne, Forrest hooked up with Bate’s division and the command advanced on to Murfreesboro along two roads, driving the Yankees into their Fortress Rosencrans fortifications, and encamped in the city outskirts for the night. The next morning, on the 6th, Forrest ordered Bate’s division to “move upon the enemy’s works.” Fighting flared for a couple of hours, but the Yankees ceased firing and both sides glared at each other for the rest of the day. Brig. Gen. Claudius Sears’s and Brig. Gen. Joseph B. Palmer’s infantry brigades joined Forrest’s command in the evening, further swelling his numbers. On the morning of the 7th, Maj. Gen. Lovell Rousseau, commanding all of the forces at Murfreesboro, sent two brigades out under Brig. Gen. Robert Milroy on the Salem Pike to feel out the enemy. These troops engaged the Confederates and fighting continued. At one point some of Forrest’s troops broke and ran causing disorder in the Rebel ranks; even entreaties from Forrest and Bate did not stem the rout of these units. The rest of Forrest’s command conducted an orderly retreat from the field and encamped for the night outside Murfreesboro. Forrest had destroyed railroad track, blockhouses, and some homes and generally disrupted Union operations in the area, but he did not accomplish much else. The raid on Murfreesboro was a minor irritation.",,MW,Main Western Theater Minus the Gulf Approach,422
TN038,Nashville,Battle,MW64-13,September-December 1864,Savannah Campaign,,12/16/1864,588,Union Victory,"In a last desperate attempt to force Maj. Gen. William T. Sherman’s army out of Georgia, Gen. John Bell Hood led the Army of Tennessee north toward Nashville in November 1864.  Although he suffered  terrible losses at Franklin on November 30, he continued toward Nashville. By the next day, the various elements of Maj. Gen. George H. Thomas’s army had reached Nashville. Hood reached the outskirts of Nashville on December 2, occupied positions on a line of hills parallel to those of the Union and began erecting fieldworks. Union Army Engineer, Brig. Gen. James St. Clair Morton, had overseen the construction of sophisticated fortifications at Nashville in 1862-63, strengthened by others, which would soon see use. From the 1st through the 14th, Thomas made preparations for the Battle of Nashville in which he intended to destroy Hood’s army. On the night of December 14, Thomas informed Maj. Gen. Henry W. Halleck, acting as Maj. Gen. Ulysses S. Grant’s chief of staff, that he would attack the next day. Thomas planned to strike both of Hood’s flanks. Before daylight on the 15th, the first of the Union troops, led by Maj. Gen. James Steedman, set out to hit the Confederate right. The attack was made and the Union forces held down one Rebel corps there for the rest of the day. Attack on the Confederate left did not begin until after noon when a charge commenced on Montgomery Hill. With this classic charge’s success, attacks on other parts of the Confederate left commenced, all eventually successful. By this time it was dark and fighting stopped for the day. Although battered and with a much smaller battle line, Gen. Hood was still confident. He established a main line of resistance along the base of a ridge about two miles south of the former location, throwing up new works and fortifying Shy’s and Overton’s hills on their flanks. The IV Army Corps marched out to within 250 yards, in some places, of the Confederate’s new line and began constructing fieldworks. During the rest of the morning, other Union troops moved out toward the new Confederate line and took up positions opposite it. The Union attack began against Hood’s strong right flank on Overton’s Hill. The same brigade that had taken Montgomery Hill the day before received the nod for the charge up Overton’s Hill. This charge, although gallantly conducted, failed, but other troops (Maj. Gen. A.J. Smith’s  “Israelites” ) successfully assaulted Shy’s Hill in their fronts. Seeing the success along the line, other Union troops charged up Overton’s Hill and took it. Hood’s army fled. Thomas had left one escape route open but the Union army set off in pursuit. For ten days, the pursuit continued until the beaten and battered Army of Tennessee recrossed the Tennessee River. Hood’s army was stalled at Columbia, beaten at Franklin, and routed at Nashville. Hood retreated to Tupelo and resigned his command.",,TN,"In a last desperate attempt to force Maj. Gen. William T. Sherman’s army out of Georgia, Gen. John Bell Hood led the Army of Tennessee north toward Nashville in November 1864.  Although he suffered  terrible losses at Franklin on November 30, he continued toward Nashville. By the next day, the various elements of Maj. Gen. George H. Thomas’s army had reached Nashville. Hood reached the outskirts of Nashville on December 2, occupied positions on a line of hills parallel to those of the Union and began erecting fieldworks. Union Army Engineer, Brig. Gen. James St. Clair Morton, had overseen the construction of sophisticated fortifications at Nashville in 1862-63, strengthened by others, which would soon see use. From the 1st through the 14th, Thomas made preparations for the Battle of Nashville in which he intended to destroy Hood’s army. On the night of December 14, Thomas informed Maj. Gen. Henry W. Halleck, acting as Maj. Gen. Ulysses S. Grant’s chief of staff, that he would attack the next day. Thomas planned to strike both of Hood’s flanks. Before daylight on the 15th, the first of the Union troops, led by Maj. Gen. James Steedman, set out to hit the Confederate right. The attack was made and the Union forces held down one Rebel corps there for the rest of the day. Attack on the Confederate left did not begin until after noon when a charge commenced on Montgomery Hill. With this classic charge’s success, attacks on other parts of the Confederate left commenced, all eventually successful. By this time it was dark and fighting stopped for the day. Although battered and with a much smaller battle line, Gen. Hood was still confident. He established a main line of resistance along the base of a ridge about two miles south of the former location, throwing up new works and fortifying Shy’s and Overton’s hills on their flanks. The IV Army Corps marched out to within 250 yards, in some places, of the Confederate’s new line and began constructing fieldworks. During the rest of the morning, other Union troops moved out toward the new Confederate line and took up positions opposite it. The Union attack began against Hood’s strong right flank on Overton’s Hill. The same brigade that had taken Montgomery Hill the day before received the nod for the charge up Overton’s Hill. This charge, although gallantly conducted, failed, but other troops (Maj. Gen. A.J. Smith’s  “Israelites” ) successfully assaulted Shy’s Hill in their fronts. Seeing the success along the line, other Union troops charged up Overton’s Hill and took it. Hood’s army fled. Thomas had left one escape route open but the Union army set off in pursuit. For ten days, the pursuit continued until the beaten and battered Army of Tennessee recrossed the Tennessee River. Hood’s army was stalled at Columbia, beaten at Franklin, and routed at Nashville. Hood retreated to Tupelo and resigned his command.",,MW,Main Western Theater Minus the Gulf Approach,9561
TX001,Sabine Pass I,No Data,TM62-07,September 1862-January 1863,Operations to Blockade the Texas Coast,,9/25/1862,589,Union Victory,"On September 23, 1862, the Union Steamer Kensington, Schooner Rachel Seaman, and Mortar Schooner Henry James appeared off the bar at Sabine Pass. The next morning, the two schooners crossed the bar, took position, and began firing on the Confederate shore battery. The shots from both land and shore fell far short of the targets. The ships then moved nearer until their projectiles began to fall amongst the Confederate guns.  The Confederate cannons, however, still could not hit the ships.  After dark, the Confederates evacuated, taking as much property as possible with them and spiking the four guns left behind. On the morning of the 25th, the schooners moved up to the battery and destroyed it while Acting Master Frederick Crocker, commander of the expedition, received the surrender of the town. Union control of Sabine Pass made later incursions into the interior possible.",,TX,"On September 23, 1862, the Union Steamer Kensington, Schooner Rachel Seaman, and Mortar Schooner Henry James appeared off the bar at Sabine Pass. The next morning, the two schooners crossed the bar, took position, and began firing on the Confederate shore battery. The shots from both land and shore fell far short of the targets. The ships then moved nearer until their projectiles began to fall amongst the Confederate guns.  The Confederate cannons, however, still could not hit the ships.  After dark, the Confederates evacuated, taking as much property as possible with them and spiking the four guns left behind. On the morning of the 25th, the schooners moved up to the battery and destroyed it while Acting Master Frederick Crocker, commander of the expedition, received the surrender of the town. Union control of Sabine Pass made later incursions into the interior possible.",,TM,Trans-Mississippi Theater,
TX002,Galveston I,Capture,TM62-07,September 1862-January 1863,Operations to Blockade the Texas Coast,,10/4/1862,590,Union Victory,"The U.S. Navy began a blockade of Galveston Harbor in July 1861, but the town remained in Confederate hands for the next 14 months. At 6:00 am on October 4, 1862, Cdr. W.B. Renshaw, commanding the blockading ships in the Galveston Bay area, sent Harriet Lane into the harbor, flying a flag of truce. The intention was to inform the military authorities in Galveston that if the town did not surrender, the U.S. Navy ships would attack; a one-hour reply would be demanded. Col. Joseph J. Cook, Confederate military commander in the area, would not come out to the Union ship or send an officer to receive the communication, so Harriet Lane weighed anchor and returned to the fleet. Four Union steamers, with a mortar boat in tow, entered the harbor and moved to the same area where Harriet Lane had anchored.  Observing this activity, Confederates at Fort Point fired one or more shots and the U.S. Navy ships answered. Eventually, the Union ships disabled the one Confederate gun at Fort Point and fired at other targets. Two Rebel guns from another location opened on the Union ships. The boat that Col. Cook had dispatched now approached the Union vessels and two Confederate officers boarded U.S.S. Westfield. Renshaw demanded an unconditional surrender of Galveston or he would begin shelling. Cook refused Renshaw’s terms, and conveyed to Renshaw that upon him rested the responsibility of destroying the town and killing women, children, and aliens. Renshaw threatened to resume the shelling and made preparations for towing the mortar boat into position.  One of the Confederate officers then asked if he could be granted time to talk with Col. Cook again. This officer, a major, negotiated with Renshaw for a four-day truce to evacuate the women, children, and aliens from the city. Cook approved the truce but added a stipulation that if Renshaw would not move troops closer to Galveston, Cook would not permit his men to come below the city.  The agreement was finalized but never written down, which later caused problems. The Confederates did evacuate, taking all of their weapons, ammunition, supplies, and whatever they could carry with them. Renshaw did not think that the agreement allowed for all this but, in the end, did nothing, due to the lack of a written document. The fall of Galveston meant that one more important Confederate port was closed to commerce. But the port of Galveston was not shut down for long.",,TX,"The U.S. Navy began a blockade of Galveston Harbor in July 1861, but the town remained in Confederate hands for the next 14 months. At 6:00 am on October 4, 1862, Cdr. W.B. Renshaw, commanding the blockading ships in the Galveston Bay area, sent Harriet Lane into the harbor, flying a flag of truce. The intention was to inform the military authorities in Galveston that if the town did not surrender, the U.S. Navy ships would attack; a one-hour reply would be demanded. Col. Joseph J. Cook, Confederate military commander in the area, would not come out to the Union ship or send an officer to receive the communication, so Harriet Lane weighed anchor and returned to the fleet. Four Union steamers, with a mortar boat in tow, entered the harbor and moved to the same area where Harriet Lane had anchored.  Observing this activity, Confederates at Fort Point fired one or more shots and the U.S. Navy ships answered. Eventually, the Union ships disabled the one Confederate gun at Fort Point and fired at other targets. Two Rebel guns from another location opened on the Union ships. The boat that Col. Cook had dispatched now approached the Union vessels and two Confederate officers boarded U.S.S. Westfield. Renshaw demanded an unconditional surrender of Galveston or he would begin shelling. Cook refused Renshaw’s terms, and conveyed to Renshaw that upon him rested the responsibility of destroying the town and killing women, children, and aliens. Renshaw threatened to resume the shelling and made preparations for towing the mortar boat into position.  One of the Confederate officers then asked if he could be granted time to talk with Col. Cook again. This officer, a major, negotiated with Renshaw for a four-day truce to evacuate the women, children, and aliens from the city. Cook approved the truce but added a stipulation that if Renshaw would not move troops closer to Galveston, Cook would not permit his men to come below the city.  The agreement was finalized but never written down, which later caused problems. The Confederates did evacuate, taking all of their weapons, ammunition, supplies, and whatever they could carry with them. Renshaw did not think that the agreement allowed for all this but, in the end, did nothing, due to the lack of a written document. The fall of Galveston meant that one more important Confederate port was closed to commerce. But the port of Galveston was not shut down for long.",,TM,Trans-Mississippi Theater,
TX003,Galveston II,Recapture,TM63-01,December 1862-January 1863,Confederate Offensive Against Galveston,,1/1/1863,988,Confederate Victory,"Maj. Gen. John B. Magruder, who became the Confederate commander of military forces in Texas on November 29, 1862, gave the recapture of Galveston top priority. At 3:00 am on New Year’s Day, 1863, four Confederate gunboats appeared, coming down the bay toward Galveston. Soon afterward, the Rebels commenced a land attack. The Union forces in Galveston were three companies of the 42nd Massachusetts Volunteer Infantry Regiment under the command of Col. Isaac S. Burrell. The Confederates captured or killed all of them except for the regiment’s adjutant. They also took Harriet Lane, by boarding her, and two barks and a schooner. Cdr. W.B. Renshaw’s flagship, U.S.S. Westfield, ran aground when trying to help Harriet Lane and, at 10:00 am, she was blown up to prevent her capture by the Confederates. Galveston was in Confederate hands again although the Union blockade would limit commerce in and out of the harbor.",,TX,"Maj. Gen. John B. Magruder, who became the Confederate commander of military forces in Texas on November 29, 1862, gave the recapture of Galveston top priority. At 3:00 am on New Year’s Day, 1863, four Confederate gunboats appeared, coming down the bay toward Galveston. Soon afterward, the Rebels commenced a land attack. The Union forces in Galveston were three companies of the 42nd Massachusetts Volunteer Infantry Regiment under the command of Col. Isaac S. Burrell. The Confederates captured or killed all of them except for the regiment’s adjutant. They also took Harriet Lane, by boarding her, and two barks and a schooner. Cdr. W.B. Renshaw’s flagship, U.S.S. Westfield, ran aground when trying to help Harriet Lane and, at 10:00 am, she was blown up to prevent her capture by the Confederates. Galveston was in Confederate hands again although the Union blockade would limit commerce in and out of the harbor.",,TM,Trans-Mississippi Theater,650
TX005,Palmito Ranch,No Data,TM65-01,May 1865,Expedition From Brazos Santiago,,5/13/1865,593,Confederate Victory,"Since March 1865, a gentleman’s agreement precluded fighting between Union and Confederate forces on the Rio Grande. In spite of this agreement, Col. Theodore H. Barrett, commanding forces at Brazos Santiago, Texas, dispatched an expedition, composed of 250 men of the 62nd U.S. Colored Infantry Regiment and 50 men of the 2nd Texas Cavalry Regiment under the command of Lt. Col. David Branson, to the mainland, on May 11, 1865, to attack reported Rebel outposts and camps. Prohibited by foul weather from crossing to Point Isabel as instructed, the expedition crossed to Boca Chica much later. At 2:00 am, on May 12, the expeditionary force surrounded the Rebel outpost at White’s Ranch, but found no one there. Exhausted, having been up most of the night, Branson secreted his command in a thicket and among weeds on the banks of the Rio Grande and allowed his men to sleep. Around 8:30 am, people on the Mexican side of the river informed the Rebels of the Federals’ whereabouts. Branson promptly led his men off to attack a Confederate camp at Palmito Ranch. After much skirmishing along the way, the Federals attacked the camp and scattered the Confederates. Branson and his men remained at the site to feed themselves and their horses but, at 3:00 pm, a sizable Confederate force appeared, influencing the Federals to retire to White’s Ranch. He sent word of his predicament to Barrett, who reinforced Branson at daybreak, on the 13th, with 200 men of the 34th Indiana Volunteer Infantry. The augmented force, now commanded by Barrett, started out towards Palmito Ranch, skirmishing most of the way. At Palmito Ranch, they destroyed the rest of the supplies not torched the day before and continued on. A few miles forward, they became involved in a sharp firefight. After the fighting stopped, Barrett led his force back to a bluff at Tulosa on the river where the men could prepare dinner and camp for the night. At 4:00 pm, a large Confederate cavalry force, commanded by Col. John S. “Rip” Ford, approached, and the Federals formed a battle line. The Rebels hammered the Union line with artillery. To preclude an enemy flanking movement, Barrett ordered a retreat. The retreat was orderly and skirmishers held the Rebels at a respectable distance. Returning to Boca Chica at 8:00 pm, the men embarked at 4:00 am, on the 14th. This was the last battle in the Civil War. Native, African, and Hispanic Americans were all involved in the fighting. Many combatants reported that firing came from the Mexican shore and that some Imperial Mexican forces crossed the Rio Grande but did not take part in the battle. These reports are unproven.",,TX,"Since March 1865, a gentleman’s agreement precluded fighting between Union and Confederate forces on the Rio Grande. In spite of this agreement, Col. Theodore H. Barrett, commanding forces at Brazos Santiago, Texas, dispatched an expedition, composed of 250 men of the 62nd U.S. Colored Infantry Regiment and 50 men of the 2nd Texas Cavalry Regiment under the command of Lt. Col. David Branson, to the mainland, on May 11, 1865, to attack reported Rebel outposts and camps. Prohibited by foul weather from crossing to Point Isabel as instructed, the expedition crossed to Boca Chica much later. At 2:00 am, on May 12, the expeditionary force surrounded the Rebel outpost at White’s Ranch, but found no one there. Exhausted, having been up most of the night, Branson secreted his command in a thicket and among weeds on the banks of the Rio Grande and allowed his men to sleep. Around 8:30 am, people on the Mexican side of the river informed the Rebels of the Federals’ whereabouts. Branson promptly led his men off to attack a Confederate camp at Palmito Ranch. After much skirmishing along the way, the Federals attacked the camp and scattered the Confederates. Branson and his men remained at the site to feed themselves and their horses but, at 3:00 pm, a sizable Confederate force appeared, influencing the Federals to retire to White’s Ranch. He sent word of his predicament to Barrett, who reinforced Branson at daybreak, on the 13th, with 200 men of the 34th Indiana Volunteer Infantry. The augmented force, now commanded by Barrett, started out towards Palmito Ranch, skirmishing most of the way. At Palmito Ranch, they destroyed the rest of the supplies not torched the day before and continued on. A few miles forward, they became involved in a sharp firefight. After the fighting stopped, Barrett led his force back to a bluff at Tulosa on the river where the men could prepare dinner and camp for the night. At 4:00 pm, a large Confederate cavalry force, commanded by Col. John S. “Rip” Ford, approached, and the Federals formed a battle line. The Rebels hammered the Union line with artillery. To preclude an enemy flanking movement, Barrett ordered a retreat. The retreat was orderly and skirmishers held the Rebels at a respectable distance. Returning to Boca Chica at 8:00 pm, the men embarked at 4:00 am, on the 14th. This was the last battle in the Civil War. Native, African, and Hispanic Americans were all involved in the fighting. Many combatants reported that firing came from the Mexican shore and that some Imperial Mexican forces crossed the Rio Grande but did not take part in the battle. These reports are unproven.",,TM,Trans-Mississippi Theater,148
TX006,Sabine Pass II,No Data,TM63-07,September 1863,Operations to Blockade the Texas Coast,,9/8/1863,594,Confederate Victory,"About 6:00 am on the morning of September 8, 1863, a Union flotilla of four gunboats and seven troop transports steamed into Sabine Pass and up the Sabine River with the intention of reducing Fort Griffin and landing troops to begin occupying Texas. As the gunboats approached Fort Griffin, they came under accurate fire from six cannons. The Confederate gunners at Fort Griffin had been sent there as a punishment. To break the day-to-day monotony, the gunners practiced firing artillery at range markers placed in the river. Their practice paid off. Fort Griffin’s small force of 44 men, under command of Lt. Richard W. Dowling, forced the Union flotilla to retire and captured the gunboat Clifton and about 200 prisoners. Further Union operations in the area ceased for about a month. The heroics at Fort Griffin—44 men stopping a Union expedition—inspired other Confederate soldiers.",,TX,"About 6:00 am on the morning of September 8, 1863, a Union flotilla of four gunboats and seven troop transports steamed into Sabine Pass and up the Sabine River with the intention of reducing Fort Griffin and landing troops to begin occupying Texas. As the gunboats approached Fort Griffin, they came under accurate fire from six cannons. The Confederate gunners at Fort Griffin had been sent there as a punishment. To break the day-to-day monotony, the gunners practiced firing artillery at range markers placed in the river. Their practice paid off. Fort Griffin’s small force of 44 men, under command of Lt. Richard W. Dowling, forced the Union flotilla to retire and captured the gunboat Clifton and about 200 prisoners. Further Union operations in the area ceased for about a month. The heroics at Fort Griffin—44 men stopping a Union expedition—inspired other Confederate soldiers.",,TM,Trans-Mississippi Theater,350
VA001,Sewell's Point,Engagement,ME61-01,May-June 1861,Union Blockade of Chesapeake Bay,,5/19/1861,595,Indecisive,"Two Union gunboats, including USS Monticello, dueled with Confederate batteries on Sewell’s Point in an attempt to enforce the blockade of Hampton Roads. The two sides did each other little harm.",,VA,"Two Union gunboats, including USS Monticello, dueled with Confederate batteries on Sewell’s Point in an attempt to enforce the blockade of Hampton Roads. The two sides did each other little harm.",,ME,Main Eastern Theater,10
VA002,Aquia Creek,Attack,ME61-01,May-June 1861,Union Blockade of Chesapeake Bay,,6/1/1861,596,Indecisive,"Three Union naval vessels bombarded Confederate batteries near the mouth of Aquia Creek that were built to protect the northern terminus of the railroad to Richmond. Confederates feared a landing of troops, but this did not materialize. Results of the bombardment were inconclusive, although the batteries were later withdrawn.",,VA,"Three Union naval vessels bombarded Confederate batteries near the mouth of Aquia Creek that were built to protect the northern terminus of the railroad to Richmond. Confederates feared a landing of troops, but this did not materialize. Results of the bombardment were inconclusive, although the batteries were later withdrawn.",,ME,Main Eastern Theater,10
VA003,Big Bethel,Engagement,ME61-01,May-June 1861,Union Blockade of Chesapeake Bay,,6/10/1861,597,Confederate Victory,"This was the first land battle in Virginia. Maj. Gen. Benjamin F. Butler sent converging columns from Hampton and Newport News against advanced Confederate outposts at Little and Big Bethel. Confederates abandoned Little Bethel and fell back to their entrenchments behind Brick Kiln Creek, near Big Bethel Church.  The Federals, under immediate command of Brig. Gen. Ebenezer Pierce, pursued, attacked frontally along the road, and were repulsed. Crossing downstream, the 5th New York Zouaves attempted to turn the Confederate left flank, but were repulsed.  Unit commander Col. T. Wynthrop was killed. The Union forces were disorganized and retired, returning to Hampton and Newport News. The Confederates suffered 1 killed, 7 wounded.",,VA,"This was the first land battle in Virginia. Maj. Gen. Benjamin F. Butler sent converging columns from Hampton and Newport News against advanced Confederate outposts at Little and Big Bethel. Confederates abandoned Little Bethel and fell back to their entrenchments behind Brick Kiln Creek, near Big Bethel Church.  The Federals, under immediate command of Brig. Gen. Ebenezer Pierce, pursued, attacked frontally along the road, and were repulsed. Crossing downstream, the 5th New York Zouaves attempted to turn the Confederate left flank, but were repulsed.  Unit commander Col. T. Wynthrop was killed. The Union forces were disorganized and retired, returning to Hampton and Newport News. The Confederates suffered 1 killed, 7 wounded.",,ME,Main Eastern Theater,84
VA004,Blackburn's Ford,Action,ME61-03,July 1861,Manassas Campaign,,7/18/1861,598,Confederate Victory,"On 16 July, 1862, the untried Union army under Brig. Gen. Irvin McDowell, 35,000 strong, marched out of the Washington defenses to give battle to the Confederate army, which was concentrated around the vital railroad junction at Manassas. The Confederate army, about 22,000 men, under the command of Brig. Gen. P.G.T. Beauregard, guarded the fords of Bull Run. On July 18, McDowell reached Centreville and pushed southwest, attempting to cross at Blackburn’s Ford. He was repulsed. This action was a reconnaissance-in-force prior to the main event at Manassas/Bull Run. Because of this action, Union commander McDowell decided on the flanking maneuver he employed at First Manassas.",,VA,"On 16 July, 1862, the untried Union army under Brig. Gen. Irvin McDowell, 35,000 strong, marched out of the Washington defenses to give battle to the Confederate army, which was concentrated around the vital railroad junction at Manassas. The Confederate army, about 22,000 men, under the command of Brig. Gen. P.G.T. Beauregard, guarded the fords of Bull Run. On July 18, McDowell reached Centreville and pushed southwest, attempting to cross at Blackburn’s Ford. He was repulsed. This action was a reconnaissance-in-force prior to the main event at Manassas/Bull Run. Because of this action, Union commander McDowell decided on the flanking maneuver he employed at First Manassas.",,ME,Main Eastern Theater,151
VA005,Manassas I,Battle,ME61-03,July 1861,Manassas Campaign,,7/21/1861,599,Confederate Victory,"This was the first major land battle of the armies in Virginia.  On July 16, 1861, the untried Union army under Brig. Gen. Irvin McDowell marched from Washington against the Confederate army, which was drawn up behind Bull Run beyond Centreville. On the 21st, McDowell crossed at Sudley Ford and attacked the Confederate left flank on Matthews Hill. Fighting raged throughout the day as Confederate forces were driven back to Henry Hill.  Late in the afternoon, Confederate reinforcements (one brigade arriving by rail from the Shenandoah Valley) extended and broke the Union right flank. The Federal retreat rapidly deteriorated into a rout. Although victorious, Confederate forces were too disorganized to pursue. Confederate Gen. Bee and Col. Bartow were killed. Thomas J. Jackson earned the nom de guerre “Stonewall.” By July 22, the shattered Union army reached the safety of Washington. This battle convinced the Lincoln administration that the war would be a long and costly affair. McDowell was relieved of command of the Union army and replaced by Maj. Gen. George B. McClellan, who set about reorganizing and training the troops.",,VA,"This was the first major land battle of the armies in Virginia.  On July 16, 1861, the untried Union army under Brig. Gen. Irvin McDowell marched from Washington against the Confederate army, which was drawn up behind Bull Run beyond Centreville. On the 21st, McDowell crossed at Sudley Ford and attacked the Confederate left flank on Matthews Hill. Fighting raged throughout the day as Confederate forces were driven back to Henry Hill.  Late in the afternoon, Confederate reinforcements (one brigade arriving by rail from the Shenandoah Valley) extended and broke the Union right flank. The Federal retreat rapidly deteriorated into a rout. Although victorious, Confederate forces were too disorganized to pursue. Confederate Gen. Bee and Col. Bartow were killed. Thomas J. Jackson earned the nom de guerre “Stonewall.” By July 22, the shattered Union army reached the safety of Washington. This battle convinced the Lincoln administration that the war would be a long and costly affair. McDowell was relieved of command of the Union army and replaced by Maj. Gen. George B. McClellan, who set about reorganizing and training the troops.",,ME,Main Eastern Theater,4878
VA006,Ball's Bluff,Engagement,ME61-05,October-December 1861,McClellan's Operations in Northern Virginia,,10/21/1861,600,Confederate Victory,Confederate Brig. Gen. Nathan “Shanks” Evans stopped a badly coordinated attempt by Union forces under Brig. Gen. Charles P. Stone to cross the Potomac at Harrison’s Island and capture Leesburg. A timely Confederate counterattack drove the Federals over the bluff and into the river. More than 700 Federals were captured. Col. Edward D. Baker (a U.S. Senator) was killed. This Union rout had severe political ramifications in Washington and led to the establishment of the Congressional Joint Committee on the Conduct of the War.,,VA,Confederate Brig. Gen. Nathan “Shanks” Evans stopped a badly coordinated attempt by Union forces under Brig. Gen. Charles P. Stone to cross the Potomac at Harrison’s Island and capture Leesburg. A timely Confederate counterattack drove the Federals over the bluff and into the river. More than 700 Federals were captured. Col. Edward D. Baker (a U.S. Senator) was killed. This Union rout had severe political ramifications in Washington and led to the establishment of the Congressional Joint Committee on the Conduct of the War.,,ME,Main Eastern Theater,1070
